# Time_s	x	xdot
0.000000	1.137695	-1.279297
0.005000	1.977539	-0.605469
0.010000	2.377930	0.112305
0.015000	2.304688	0.620117
0.020000	1.889648	0.844727
0.025000	1.328125	0.820312
0.030000	0.781250	0.654297
0.035000	0.341797	0.468750
0.040000	0.019531	0.312500
0.045000	-0.190430	0.039062
0.050000	-0.214844	-0.434570
0.055000	0.058594	-0.639648
0.060000	0.483398	-0.444336
0.065000	0.766602	-0.058594
0.070000	0.805664	0.307617
0.075000	0.600586	0.541992
0.080000	0.229492	0.625000
0.085000	-0.190430	0.463867
0.090000	-0.478516	-0.371094
0.095000	-0.229492	-1.352539
0.100000	0.649414	-1.479492
0.105000	1.616211	-0.957031
0.110000	2.250977	-0.214844
0.115000	2.392578	0.419922
0.120000	2.114258	0.771484
0.125000	1.601562	0.854492
0.130000	1.035156	0.747070
0.135000	0.537109	0.556641
0.140000	0.151367	0.380859
0.145000	-0.107422	0.205078
0.150000	-0.244141	-0.209961
0.155000	-0.102539	-0.605469
0.160000	0.288086	-0.576172
0.165000	0.659180	-0.244141
0.170000	0.820312	0.146484
0.175000	0.722656	0.454102
0.180000	0.419922	0.610352
0.185000	0.009766	0.605469
0.190000	-0.380859	0.107422
0.195000	-0.439453	-0.957031
0.200000	0.185547	-1.528320
0.205000	1.186523	-1.254883
0.210000	2.006836	-0.571289
0.215000	2.387695	0.141602
0.220000	2.290039	0.639648
0.225000	1.860352	0.849609
0.230000	1.298828	0.810547
0.235000	0.761719	0.649414
0.240000	0.317383	0.458984
0.245000	0.004883	0.307617
0.250000	-0.200195	0.019531
0.255000	-0.209961	-0.458984
0.260000	0.083008	-0.634766
0.265000	0.498047	-0.424805
0.270000	0.771484	-0.039062
0.275000	0.800781	0.322266
0.280000	0.581055	0.551758
0.285000	0.214844	0.625000
0.290000	-0.205078	0.439453
0.295000	-0.478516	-0.429688
0.300000	-0.195312	-1.376953
0.305000	0.698242	-1.464844
0.310000	1.660156	-0.922852
0.315000	2.270508	-0.175781
0.320000	2.387695	0.444336
0.325000	2.094727	0.786133
0.330000	1.572266	0.849609
0.335000	1.010742	0.732422
0.340000	0.512695	0.546875
0.345000	0.141602	0.375977
0.350000	-0.117188	0.190430
0.355000	-0.239258	-0.229492
0.360000	-0.087891	-0.615234
0.365000	0.307617	-0.561523
0.370000	0.673828	-0.229492
0.375000	0.820312	0.161133
0.380000	0.708008	0.463867
0.385000	0.400391	0.615234
0.390000	-0.009766	0.595703
0.395000	-0.395508	0.063477
0.400000	-0.424805	-1.005859
0.405000	0.229492	-1.528320
0.410000	1.235352	-1.235352
0.415000	2.036133	-0.532227
0.420000	2.392578	0.175781
0.425000	2.275391	0.654297
0.430000	1.835938	0.849609
0.435000	1.269531	0.805664
0.440000	0.732422	0.639648
0.445000	0.302734	0.454102
0.450000	-0.004883	0.302734
