# Time_s	x	xdot	xddot	xdddot	dx
0.495000	0.634766	0.698242	0.795898	-0.175781	1.420898
0.500000	0.068359	-0.195312	-0.122070	0.107422	1.420898
0.505000	0.244141	0.244141	-0.361328	-0.883789	1.416016
0.510000	-0.400391	0.039062	1.791992	0.302734	1.416016
0.515000	0.883789	-1.708984	-0.976562	1.059570	1.420898
0.520000	2.812500	0.375977	-1.059570	-1.083984	1.420898
0.525000	1.406250	1.303711	0.463867	-0.996094	1.420898
0.530000	-0.341797	0.000000	1.899414	1.108398	1.420898
0.535000	1.030273	-1.655273	-1.054688	0.961914	1.420898
0.540000	2.832031	0.468750	-0.991211	-1.127930	1.420898
0.545000	1.328125	1.279297	0.502930	-0.952148	1.420898
0.550000	-0.346680	-0.073242	1.826172	1.225586	1.420898
0.555000	1.064453	-1.567383	-1.074219	0.859375	1.416016
0.560000	2.709961	0.522461	-0.917969	-1.132812	1.416016
0.565000	1.181641	1.240234	0.507812	-0.908203	1.420898
0.570000	-0.415039	-0.268555	1.894531	1.450195	1.420898
0.575000	1.323242	-1.611328	-1.240234	0.791016	1.420898
0.580000	2.924805	0.649414	-0.878906	-1.235352	1.420898
0.585000	1.225586	1.250000	0.581055	-0.874023	1.420898
0.590000	-0.356445	-0.214844	1.665039	1.250000	1.420898
0.595000	1.142578	-1.386719	-1.113281	0.649414	1.416016
0.600000	2.485352	0.625000	-0.771484	-1.137695	1.420898
0.605000	0.893555	1.157227	0.522461	-1.914062	1.420898
0.610000	-0.493164	-0.727539	1.743164	1.835938	1.420898
0.615000	1.865234	-1.586914	-1.523438	0.581055	1.420898
0.620000	3.217773	0.913086	-0.732422	-1.401367	1.411133
0.625000	1.215820	1.235352	0.703125	-0.771484	1.416016
0.630000	-0.258789	-0.180664	1.210938	0.932617	1.420898
0.635000	0.854492	-0.942383	-0.893555	0.341797	1.420898
0.640000	1.635742	0.620117	-0.551758	-0.986328	1.420898
0.645000	0.219727	0.952148	0.932617	-3.886719	1.420898
0.650000	-0.292969	-2.036133	0.659180	2.475586	1.420898
0.655000	3.354492	-1.196289	-2.011719	-0.146484	1.420898
0.660000	3.725586	1.503906	-0.234375	-1.665039	1.420898
0.665000	1.152344	1.040039	0.908203	-0.444336	1.420898
0.670000	0.122070	-0.151367	0.068359	0.195312	1.420898
0.675000	0.371094	0.087891	-0.415039	-0.371094	1.420898
0.680000	-0.117188	0.537109	0.991211	-2.885742	1.420898
0.685000	0.004883	-1.757812	-0.019531	1.743164	1.420898
0.690000	2.714844	-0.483398	-1.523438	-0.537109	1.416016
0.695000	2.329102	1.357422	0.053711	-1.323242	1.420898
0.700000	0.190430	0.722656	1.059570	-2.221680	1.420898
0.705000	-0.014648	-1.401367	0.009766	1.401367	1.420898
0.710000	2.153320	-0.361328	-1.269531	-0.488281	1.420898
0.715000	1.757812	1.191406	0.029297	-1.176758	1.420898
0.720000	-0.136719	0.590820	1.777344	-2.026367	1.416016
0.725000	0.429688	-2.084961	-0.512695	1.743164	1.420898
0.730000	3.295898	-0.185547	-1.533203	-0.834961	1.420898
0.735000	2.431641	1.494141	0.273438	-1.313477	1.420898
0.740000	0.239258	0.590820	0.834961	-1.337891	1.420898
0.745000	0.000000	-0.854492	-0.087891	0.791016	1.420898
0.750000	1.240234	-0.048828	-0.834961	-0.512695	1.420898
0.755000	0.659180	0.932617	0.063477	-2.514648	1.416016
0.760000	-0.639648	-0.795898	2.387695	2.290039	1.416016
0.765000	2.260742	-2.177734	-1.831055	0.966797	1.420898
0.770000	4.321289	0.932617	-1.020508	-1.616211	1.420898
0.775000	2.065430	1.499023	0.849609	-0.942383	1.420898
0.780000	0.273438	0.083008	0.429688	0.190430	1.420898
0.785000	0.400391	-0.122070	-0.400391	-0.146484	1.420898
0.790000	0.258789	0.517578	-0.151367	-2.314453	1.420898
0.795000	-0.517578	-0.708008	1.713867	1.777344	1.420898
0.800000	1.762695	-1.547852	-1.484375	0.561523	1.420898
0.805000	3.085938	0.893555	-0.722656	-1.372070	1.420898
0.810000	1.118164	1.220703	0.683594	-0.771484	1.420898
0.815000	-0.322266	-0.336914	1.352539	1.181641	1.420898
0.820000	1.127930	-1.113281	-1.064453	0.390625	1.420898
0.825000	2.045898	0.708008	-0.590820	-1.098633	1.420898
0.830000	0.463867	1.025391	0.639648	-3.359375	1.416016
0.835000	-0.439453	-1.562500	1.088867	2.280273	1.416016
0.840000	2.773438	-1.372070	-1.865234	0.131836	1.420898
0.845000	3.544922	1.298828	-0.429688	-1.586914	1.420898
0.850000	1.147461	1.132812	0.844727	-0.571289	1.420898
0.855000	-0.058594	-0.102539	0.312500	0.302734	1.420898
0.860000	0.288086	-0.097656	-0.478516	-0.224609	1.420898
0.865000	0.048828	0.600586	0.356445	-3.310547	1.420898
0.870000	-0.361328	-1.494141	0.771484	2.006836	1.420898
0.875000	2.509766	-1.074219	-1.684570	-0.048828	1.420898
0.880000	2.934570	1.254883	-0.297852	-1.450195	1.420898
0.885000	0.698242	0.991211	0.756836	-1.503906	1.420898
0.890000	-0.263672	-0.722656	0.668945	1.162109	1.420898
0.895000	1.318359	-0.664062	-1.079102	-0.053711	1.420898
0.900000	1.538086	0.898438	-0.273438	-1.079102	1.416016
0.905000	-0.112305	0.742188	1.757812	-3.012695	1.420898
0.910000	0.273438	-2.397461	-0.292969	2.202148	1.420898
0.915000	3.789062	-0.502930	-1.855469	-0.727539	1.416016
0.920000	3.198242	1.640625	0.185547	-1.528320	1.420898
0.925000	0.708008	0.727539	0.820312	-0.185547	1.420898
0.930000	0.112305	-0.205078	-0.112305	0.126953	1.416016
0.935000	0.312500	0.234375	-0.366211	-0.483398	1.416016
0.940000	-0.351562	0.214844	1.733398	-0.771484	1.420898
0.945000	0.673828	-1.826172	-0.805664	1.284180	1.420898
0.950000	2.915039	0.180664	-1.220703	-0.991211	1.420898
0.955000	1.704102	1.362305	0.395508	-1.108398	1.420898
0.960000	-0.200195	0.288086	1.665039	-0.478516	1.416016
0.965000	0.625000	-1.591797	-0.742188	1.098633	1.420898
0.970000	2.548828	0.224609	-1.083984	-0.942383	1.420898
0.975000	1.372070	1.259766	0.366211	-1.020508	1.420898
0.980000	-0.375977	0.034180	2.084961	0.971680	1.420898
0.985000	1.093750	-1.870117	-1.103516	1.137695	1.420898
0.990000	3.183594	0.429688	-1.118164	-1.171875	1.420898
0.995000	1.660156	1.376953	0.532227	-1.030273	1.420898
1.000000	-0.166016	0.205078	1.396484	-0.117188	1.420898
1.005000	0.561523	-1.245117	-0.698242	0.781250	1.420898
1.010000	1.967773	0.327148	-0.849609	-0.893555	1.420898
1.015000	0.791016	1.098633	0.336914	-2.407227	1.420898
1.020000	-0.585938	-0.864258	2.070312	2.177734	1.420898
1.025000	2.207031	-1.923828	-1.752930	0.761719	1.420898
1.030000	3.916016	0.976562	-0.874023	-1.562500	1.420898
1.035000	1.708984	1.386719	0.810547	-0.849609	1.420898
1.040000	0.073242	0.073242	0.361328	0.161133	1.420898
1.045000	0.180664	-0.063477	-0.380859	-0.185547	1.420898
1.050000	-0.034180	0.498047	0.478516	-2.919922	1.420898
1.055000	-0.234375	-1.416016	0.400391	1.669922	1.416016
1.060000	2.246094	-0.708008	-1.450195	-0.263672	1.416016
1.065000	2.255859	1.210938	-0.136719	-1.298828	1.420898
1.070000	0.209961	0.830078	1.088867	-2.792969	1.420898
1.075000	-0.083008	-1.655273	0.180664	1.777344	1.420898
1.080000	2.607422	-0.620117	-1.533203	-0.405273	1.420898
1.085000	2.426758	1.313477	-0.034180	-1.337891	1.420898
1.090000	0.288086	0.786133	0.927734	-2.275391	1.420898
1.095000	-0.112305	-1.293945	0.195312	1.420898	1.416016
1.100000	2.026367	-0.483398	-1.279297	-0.375977	1.420898
1.105000	1.806641	1.152344	-0.048828	-1.186523	1.420898
1.110000	-0.078125	0.668945	1.665039	-2.460938	1.416016
1.115000	0.297852	-2.099609	-0.356445	1.865234	1.420898
1.120000	3.305664	-0.327148	-1.611328	-0.747070	1.420898
1.125000	2.597656	1.508789	0.209961	-1.367188	1.420898
1.130000	0.341797	0.649414	0.766602	-1.215820	1.420898
1.135000	-0.053711	-0.708008	0.009766	0.712891	1.420898
1.140000	1.020508	-0.078125	-0.776367	-0.444336	1.420898
1.145000	0.532227	0.874023	0.019531	-2.851562	1.416016
1.150000	-0.639648	-0.961914	2.202148	2.358398	1.420898
1.155000	2.402344	-2.080078	-1.879883	0.834961	1.420898
1.160000	4.272461	1.020508	-0.927734	-1.640625	1.420898
1.165000	1.938477	1.450195	0.869141	-0.883789	1.416016
1.170000	0.239258	0.043945	0.380859	0.200195	1.420898
1.175000	0.395508	-0.092773	-0.400391	-0.170898	1.420898
1.180000	0.214844	0.537109	-0.073242	-2.583008	1.416016
1.185000	-0.502930	-0.883789	1.479492	1.835938	1.416016
1.190000	1.918945	-1.430664	-1.538086	0.415039	1.420898
1.195000	3.017578	0.981445	-0.620117	-1.396484	1.420898
1.200000	0.986328	1.166992	0.703125	-1.103516	1.420898
1.205000	-0.332031	-0.488281	1.225586	1.254883	1.420898
1.210000	1.254883	-1.044922	-1.132812	0.283203	1.420898
1.215000	2.036133	0.786133	-0.517578	-1.137695	1.416016
1.220000	0.380859	0.991211	0.761719	-3.452148	1.416016
1.225000	-0.366211	-1.699219	0.854492	2.260742	1.420898
1.230000	2.885742	-1.230469	-1.860352	-0.014648	1.420898
1.235000	3.427734	1.352539	-0.327148	-1.567383	1.420898
1.240000	1.020508	1.059570	0.839844	-0.512695	1.420898
1.245000	-0.087891	-0.166016	0.307617	0.361328	1.420898
1.250000	0.356445	-0.122070	-0.522461	-0.229492	1.420898
1.255000	0.122070	0.625000	0.214844	-3.354492	1.420898
1.260000	-0.454102	-1.416016	1.088867	2.128906	1.420898
1.265000	2.519531	-1.308594	-1.757812	0.136719	1.420898
1.270000	3.261719	1.230469	-0.434570	-1.518555	1.420898
1.275000	0.976562	1.098633	0.795898	-0.585938	1.420898
1.280000	-0.205078	-0.332031	0.717773	0.786133	1.420898
1.285000	0.786133	-0.541992	-0.805664	0.000000	1.420898
1.290000	1.005859	0.712891	-0.297852	-0.913086	1.420898
1.295000	-0.371094	0.444336	2.343750	-1.503906	1.420898
1.300000	0.815430	-2.592773	-0.874023	2.011719	1.420898
1.305000	4.213867	-0.073242	-1.738281	-1.088867	1.420898
1.310000	3.022461	1.713867	0.444336	-1.420898	1.420898
1.315000	0.605469	0.532227	0.761719	-0.029297	1.420898
1.320000	0.273438	-0.234375	-0.229492	0.073242	1.420898
1.325000	0.429688	0.322266	-0.336914	-0.551758	1.420898
1.330000	-0.351562	0.253906	1.826172	-0.888672	1.420898
1.335000	0.693359	-1.943359	-0.815430	1.396484	1.416016
1.340000	3.110352	0.141602	-1.293945	-1.005859	1.420898
1.345000	1.899414	1.416016	0.405273	-1.152344	1.420898
1.350000	-0.078125	0.390625	1.352539	-0.981445	1.416016
1.355000	0.385742	-1.352539	-0.537109	1.000977	1.420898
1.360000	2.089844	0.131836	-1.005859	-0.800781	1.420898
1.365000	1.113281	1.162109	0.263672	-1.035156	1.420898
1.370000	-0.517578	-0.253906	2.407227	1.752930	1.420898
1.375000	1.572266	-2.124023	-1.435547	1.171875	1.420898
1.380000	3.828125	0.615234	-1.152344	-1.386719	1.420898
1.385000	1.982422	1.484375	0.678711	-1.040039	1.420898
1.390000	0.097656	0.229492	0.581055	-0.102539	1.420898
1.395000	0.131836	-0.288086	-0.356445	0.048828	1.416016
1.400000	0.288086	0.415039	-0.322266	-1.733398	1.420898
1.405000	-0.522461	-0.336914	2.084961	1.625977	1.420898
1.410000	1.459961	-1.835938	-1.362305	0.932617	1.420898
1.415000	3.320312	0.659180	-0.976562	-1.318359	1.420898
1.420000	1.513672	1.352539	0.634766	-0.932617	1.416016
1.425000	-0.195312	0.058594	1.293945	0.566406	1.420898
1.430000	0.639648	-1.064453	-0.766602	0.551758	1.420898
1.435000	1.704102	0.458984	-0.688477	-0.917969	1.420898
1.440000	0.444336	1.015625	0.512695	-3.583984	1.420898
1.445000	-0.507812	-1.601562	1.308594	2.465820	1.420898
1.450000	2.929688	-1.586914	-1.987305	0.263672	1.420898
1.455000	3.935547	1.323242	-0.532227	-1.674805	1.420898
1.460000	1.435547	1.225586	0.908203	-0.625000	1.420898
1.465000	0.122070	-0.078125	0.205078	0.205078	1.416016
1.470000	0.351562	0.009766	-0.419922	-0.288086	1.420898
1.475000	-0.009766	0.566406	0.561523	-3.129883	1.420898
1.480000	-0.239258	-1.552734	0.424805	1.835938	1.420898
1.485000	2.480469	-0.791016	-1.567383	-0.253906	1.420898
1.490000	2.539062	1.274414	-0.146484	-1.372070	1.416016
1.495000	0.390625	0.864258	0.849609	-2.338867	1.416016
1.500000	-0.190430	-1.245117	0.375977	1.494141	1.420898
1.505000	2.001953	-0.625000	-1.323242	-0.258789	1.420898
1.510000	1.972656	1.132812	-0.131836	-1.220703	1.420898
1.515000	0.058594	0.781250	1.357422	-2.885742	1.420898
1.520000	0.073242	-1.958008	-0.048828	1.918945	1.420898
1.525000	3.076172	-0.537109	-1.645508	-0.561523	1.416016
1.530000	2.675781	1.450195	0.068359	-1.406250	1.420898
1.535000	0.410156	0.742188	0.771484	-1.464844	1.420898
1.540000	-0.112305	-0.810547	0.161133	0.913086	1.420898
1.545000	1.230469	-0.249023	-0.913086	-0.361328	1.420898
1.550000	0.913086	0.927734	-0.048828	-1.088867	1.416016
1.555000	-0.571289	-0.136719	2.690430	1.831055	1.420898
1.560000	1.591797	-2.460938	-1.474609	1.474609	1.420898
1.565000	4.345703	0.512695	-1.372070	-1.425781	1.420898
1.570000	2.495117	1.635742	0.698242	-1.176758	1.420898
1.575000	0.380859	0.273438	0.585938	0.112305	1.420898
1.580000	0.341797	-0.190430	-0.336914	-0.039062	1.420898
