# Time_s	x	xdot
0.000000	-0.351562	-2.436523
0.005000	1.240234	-3.286133
0.010000	3.393555	-2.592773
0.015000	5.092773	-0.922852
0.020000	5.590820	0.922852
0.025000	5.053711	2.211914
0.030000	3.603516	2.553711
0.035000	1.909180	2.021484
0.040000	0.571289	0.957031
0.045000	-0.068359	-0.166016
0.050000	0.034180	-1.015625
0.055000	0.693359	-1.191406
0.060000	1.464844	-0.747070
0.065000	1.953125	0.034180
0.070000	1.923828	0.791016
0.075000	1.396484	1.245117
0.080000	0.576172	1.284180
0.085000	-0.283203	0.771484
0.090000	-0.756836	-1.074219
0.095000	-0.034180	-3.129883
0.100000	2.011719	-3.544922
0.105000	4.335938	-2.407227
0.110000	5.595703	-0.444336
0.115000	5.595703	1.455078
0.120000	4.897461	2.583008
0.125000	3.193359	2.670898
0.130000	1.425781	1.870117
0.135000	0.180664	0.649414
0.140000	-0.249023	-0.732422
0.145000	0.229492	-1.689453
0.150000	1.328125	-1.684570
0.155000	2.436523	-0.922852
0.160000	3.032227	0.190430
0.165000	2.905273	1.162109
0.170000	2.143555	1.645508
0.175000	1.049805	1.557617
0.180000	0.014648	1.000977
0.185000	-0.629883	-0.522461
0.190000	-0.258789	-2.563477
0.195000	1.411133	-3.266602
0.200000	3.554688	-2.460938
0.205000	5.170898	-0.747070
0.210000	5.590820	1.064453
0.215000	4.946289	2.275391
0.220000	3.442383	2.529297
0.225000	1.767578	1.933594
0.230000	0.483398	0.854492
0.235000	-0.087891	-0.258789
0.240000	0.068359	-1.054688
0.245000	0.756836	-1.171875
0.250000	1.513672	-0.683594
0.255000	1.958008	0.107422
0.260000	1.884766	0.849609
0.265000	1.318359	1.264648
0.270000	0.488281	1.264648
0.275000	-0.356445	0.659180
0.280000	-0.751953	-1.298828
0.285000	0.112305	-3.242188
0.290000	2.236328	-3.500977
0.295000	4.531250	-2.246094
0.300000	5.595703	-0.249023
0.305000	5.590820	1.601562
0.310000	4.760742	2.641602
0.315000	3.017578	2.626953
0.320000	1.274414	1.767578
0.325000	0.107422	0.527344
0.330000	-0.244141	-0.864258
0.335000	0.317383	-1.728516
0.340000	1.445312	-1.650391
0.345000	2.519531	-0.825195
0.350000	3.066406	0.297852
0.355000	2.866211	1.235352
0.360000	2.055664	1.669922
0.365000	0.952148	1.528320
0.370000	-0.068359	0.917969
0.375000	-0.639648	-0.717773
0.380000	-0.156250	-2.685547
0.385000	1.601562	-3.242188
0.390000	3.720703	-2.329102
0.395000	5.249023	-0.576172
0.400000	5.585938	1.206055
0.405000	4.819336	2.338867
0.410000	3.286133	2.504883
0.415000	1.625977	1.850586
0.420000	0.400391	0.747070
0.425000	-0.102539	-0.346680
0.430000	0.122070	-1.088867
0.435000	0.825195	-1.147461
0.440000	1.567383	-0.615234
0.445000	1.972656	0.180664
0.450000	1.850586	0.898438
0.455000	1.254883	1.284180
0.460000	0.400391	1.240234
0.465000	-0.419922	0.537109
0.470000	-0.737305	-1.523438
0.475000	0.278320	-3.344727
0.480000	2.460938	-3.437500
0.485000	4.721680	-2.080078
0.490000	5.595703	-0.058594
0.495000	5.595703	1.743164
0.500000	4.619141	2.680664
0.505000	2.846680	2.578125
0.510000	1.147461	1.655273
0.515000	0.034180	0.405273
0.520000	-0.234375	-0.986328
0.525000	0.405273	-1.767578
0.530000	1.562500	-1.596680
0.535000	2.607422	-0.722656
0.540000	3.090820	0.400391
0.545000	2.822266	1.298828
0.550000	1.962891	1.679688
0.555000	0.854492	1.494141
0.560000	-0.141602	0.820312
0.565000	-0.654297	-0.913086
0.570000	-0.039062	-2.802734
0.575000	1.791992	-3.208008
0.580000	3.891602	-2.187500
0.585000	5.336914	-0.400391
0.590000	5.581055	1.342773
0.595000	4.702148	2.392578
0.600000	3.125000	2.480469
0.605000	1.489258	1.752930
0.610000	0.327148	0.644531
0.615000	-0.112305	-0.439453
0.620000	0.170898	-1.123047
0.625000	0.898438	-1.113281
0.630000	1.621094	-0.546875
0.635000	1.972656	0.253906
0.640000	1.806641	0.952148
0.645000	1.181641	1.293945
0.650000	0.317383	1.225586
0.655000	-0.483398	0.400391
0.660000	-0.708008	-1.748047
0.665000	0.444336	-3.427734
0.670000	2.680664	-3.364258
0.675000	4.892578	-1.904297
0.680000	5.595703	0.131836
0.685000	5.595703	1.875000
0.690000	4.467773	2.719727
0.695000	2.670898	2.514648
0.700000	1.010742	1.547852
0.705000	-0.024414	0.278320
0.710000	-0.205078	-1.098633
0.715000	0.502930	-1.791992
0.720000	1.674805	-1.542969
0.725000	2.685547	-0.625000
0.730000	3.100586	0.498047
0.735000	2.763672	1.362305
0.740000	1.865234	1.684570
0.745000	0.751953	1.455078
0.750000	-0.214844	0.712891
0.755000	-0.654297	-1.118164
0.760000	0.087891	-2.910156
0.765000	1.982422	-3.164062
0.770000	4.057617	-2.045898
0.775000	5.410156	-0.234375
0.780000	5.546875	1.474609
0.785000	4.575195	2.441406
0.790000	2.968750	2.441406
0.795000	1.357422	1.655273
0.800000	0.253906	0.541992
0.805000	-0.112305	-0.532227
0.810000	0.224609	-1.147461
0.815000	0.976562	-1.083984
0.820000	1.669922	0.126953
0.825000	1.870117	0.854492
0.830000	1.298828	1.264648
0.835000	0.463867	1.254883
0.840000	-0.371094	0.625000
0.845000	-0.747070	-1.362305
0.850000	0.161133	-3.276367
0.855000	2.304688	-3.486328
0.860000	4.589844	-2.202148
0.865000	5.595703	-0.195312
0.870000	5.595703	1.650391
0.875000	4.721680	2.656250
0.880000	2.968750	2.612305
0.885000	1.240234	1.738281
0.890000	0.083008	0.493164
0.895000	-0.244141	-0.903320
0.900000	0.341797	-1.748047
0.905000	1.484375	-1.635742
0.910000	2.558594	-0.800781
0.915000	3.081055	0.327148
0.920000	2.861328	1.250000
0.925000	2.041016	1.674805
0.930000	0.927734	1.518555
0.935000	-0.083008	0.893555
0.940000	-0.649414	-0.761719
0.945000	-0.131836	-2.714844
0.950000	1.645508	-3.227539
0.955000	3.759766	-2.290039
0.960000	5.268555	-0.532227
0.965000	5.581055	1.240234
0.970000	4.790039	2.348633
0.975000	3.242188	2.495117
0.980000	1.586914	1.821289
0.985000	0.380859	0.722656
0.990000	-0.102539	-0.371094
0.995000	0.131836	-1.098633
1.000000	0.849609	-1.137695
1.005000	1.582031	-0.595703
1.010000	1.972656	0.200195
1.015000	1.831055	0.913086
1.020000	1.235352	1.279297
1.025000	0.380859	1.240234
1.030000	-0.444336	0.502930
1.035000	-0.732422	-1.586914
1.040000	0.322266	-3.369141
1.045000	2.519531	-3.417969
1.050000	4.765625	-2.031250
1.055000	5.595703	-0.004883
1.060000	5.590820	1.782227
1.065000	4.580078	2.695312
1.070000	2.797852	2.558594
1.075000	1.103516	1.630859
1.080000	0.014648	0.366211
1.085000	-0.229492	-1.020508
1.090000	0.434570	-1.777344
1.095000	1.591797	-1.586914
1.100000	2.636719	-0.698242
1.105000	3.100586	0.429688
1.110000	2.807617	1.318359
1.115000	1.938477	1.684570
1.120000	0.830078	1.484375
1.125000	-0.161133	0.791016
1.130000	-0.654297	-0.961914
1.135000	-0.009766	-2.827148
1.140000	1.835938	-3.198242
1.145000	3.930664	-2.153320
1.150000	5.346680	-0.361328
1.155000	5.571289	1.372070
1.160000	4.667969	2.402344
1.165000	3.085938	2.465820
1.170000	1.455078	1.728516
1.175000	0.307617	0.620117
1.180000	-0.112305	-0.458984
1.185000	0.185547	-1.132812
1.190000	0.917969	-1.103516
1.195000	1.630859	-0.532227
1.200000	1.977539	0.273438
1.205000	1.796875	0.961914
1.210000	1.162109	1.293945
1.215000	0.297852	1.215820
1.220000	-0.502930	0.366211
1.225000	-0.703125	-1.806641
1.230000	0.488281	-3.447266
1.235000	2.744141	-3.344727
1.240000	4.941406	-1.855469
1.245000	5.595703	0.180664
1.250000	5.590820	1.909180
1.255000	4.428711	2.724609
1.260000	2.626953	2.504883
1.265000	0.976562	1.523438
1.270000	-0.039062	0.244141
1.275000	-0.205078	-1.127930
1.280000	0.532227	-1.801758
1.285000	1.699219	-1.528320
1.290000	2.709961	-0.600586
1.295000	3.105469	0.522461
1.300000	2.749023	1.376953
1.305000	1.845703	1.689453
1.310000	0.732422	1.440430
1.315000	-0.234375	0.683594
1.320000	-0.654297	-1.162109
1.325000	0.122070	-2.924805
1.330000	2.036133	-3.154297
1.335000	4.101562	-2.006836
1.340000	5.419922	-0.185547
1.345000	5.527344	1.503906
1.350000	4.536133	2.446289
1.355000	2.929688	2.426758
1.360000	1.323242	1.635742
1.365000	0.239258	0.517578
1.370000	-0.112305	-0.551758
1.375000	0.239258	-1.157227
1.380000	0.991211	-1.069336
1.385000	1.684570	-0.463867
1.390000	1.982422	0.341797
1.395000	1.752930	1.010742
1.400000	1.088867	1.303711
1.405000	0.219727	1.191406
1.410000	-0.556641	0.209961
1.415000	-0.654297	-2.016602
1.420000	0.664062	-3.510742
1.425000	2.963867	-3.256836
1.430000	5.097656	-1.684570
1.435000	5.595703	0.361328
1.440000	5.585938	2.026367
1.445000	4.277344	2.749023
1.450000	2.465820	2.446289
1.455000	0.849609	1.411133
1.460000	-0.092773	0.122070
1.465000	-0.166016	-1.230469
1.470000	0.625000	-1.811523
1.475000	1.811523	-1.464844
1.480000	2.773438	-0.498047
1.485000	3.100586	0.620117
1.490000	2.685547	1.430664
1.495000	1.743164	1.684570
1.500000	0.629883	1.401367
1.505000	-0.302734	0.566406
1.510000	-0.639648	-1.362305
1.515000	0.258789	-3.017578
1.520000	2.236328	-3.095703
1.525000	4.262695	-1.855469
1.530000	5.483398	-0.014648
1.535000	5.478516	1.625977
1.540000	4.409180	2.485352
1.545000	2.773438	2.382812
1.550000	1.201172	1.538086
1.555000	0.175781	0.415039
1.560000	-0.112305	-0.629883
1.565000	0.297852	-1.176758
1.570000	1.064453	-1.035156
1.575000	1.733398	-0.390625
1.580000	1.987305	0.415039
1.585000	1.704102	1.054688
1.590000	1.015625	1.308594
1.595000	0.141602	1.152344
1.600000	-0.610352	0.043945
1.605000	-0.605469	-2.226562
1.610000	0.854492	-3.554688
1.615000	3.183594	-3.154297
1.620000	5.249023	-1.499023
1.625000	5.595703	0.541992
1.630000	5.527344	2.138672
1.635000	4.116211	2.758789
1.640000	2.304688	2.373047
1.645000	0.727539	1.298828
1.650000	-0.136719	-0.009766
1.655000	-0.131836	-1.313477
1.660000	0.727539	-1.811523
1.665000	1.918945	-1.391602
1.670000	2.827148	-0.390625
1.675000	3.085938	0.708008
1.680000	2.612305	1.474609
1.685000	1.645508	1.679688
1.690000	0.532227	1.347656
1.695000	-0.366211	0.434570
1.700000	-0.625000	-1.567383
1.705000	0.410156	-3.090820
1.710000	2.431641	-3.032227
1.715000	4.418945	-1.699219
1.720000	5.541992	0.161133
1.725000	5.424805	1.748047
1.730000	4.277344	2.509766
1.735000	2.612305	2.329102
1.740000	1.079102	1.440430
1.745000	0.112305	0.312500
1.750000	-0.097656	-0.708008
1.755000	0.361328	-1.191406
1.760000	1.137695	-0.991211
1.765000	1.777344	-0.322266
