# Time_s	x	xdot
0.000000	1.635742	1.469727
0.005000	0.659180	0.668945
0.010000	0.209961	-0.043945
0.015000	0.224609	-0.439453
0.020000	0.507812	-0.439453
0.025000	0.791016	-0.146484
0.030000	0.883789	0.263672
0.035000	0.698242	0.615234
0.040000	0.288086	0.791016
0.045000	-0.239258	0.595703
0.050000	-0.610352	-0.625000
0.055000	-0.180664	-2.153320
0.060000	1.225586	-2.495117
0.065000	2.856445	-1.704102
0.070000	3.979492	-0.351562
0.075000	4.213867	0.947266
0.080000	3.593750	1.713867
0.085000	2.460938	1.811523
0.090000	1.259766	1.357422
0.095000	0.356445	0.654297
0.100000	-0.087891	-0.039062
0.105000	-0.063477	-0.615234
0.110000	0.332031	-0.727539
0.115000	0.805664	-0.410156
0.120000	1.079102	0.117188
0.125000	0.991211	0.605469
0.130000	0.585938	0.893555
0.135000	-0.009766	0.888672
0.140000	-0.581055	-0.024414
0.145000	-0.532227	-1.889648
0.150000	0.708008	-2.875977
0.155000	2.583008	-2.441406
0.160000	4.184570	-1.083984
0.165000	4.902344	0.478516
0.170000	4.584961	1.625977
0.175000	3.520508	2.036133
0.180000	2.172852	1.743164
0.185000	1.015625	1.015625
0.190000	0.336914	0.229492
0.195000	0.170898	-0.317383
0.200000	0.371094	-0.478516
0.205000	0.678711	-0.292969
0.210000	0.874023	0.087891
0.215000	0.810547	0.483398
0.220000	0.483398	0.742188
0.225000	-0.009766	0.771484
0.230000	-0.512695	0.014648
0.235000	-0.493164	-1.606445
0.240000	0.561523	-2.509766
0.245000	2.197266	-2.143555
0.250000	3.608398	-0.947266
0.255000	4.228516	0.444336
0.260000	3.935547	1.474609
0.265000	2.968750	1.855469
0.270000	1.743164	1.601562
0.275000	0.688477	0.961914
0.280000	0.039062	0.249023
0.285000	-0.131836	-0.415039
0.290000	0.136719	-0.742188
0.295000	0.620117	-0.585938
0.300000	1.000977	-0.117188
0.305000	1.074219	0.419922
0.310000	0.791016	0.805664
0.315000	0.258789	0.937500
0.320000	-0.366211	0.522461
0.325000	-0.678711	-1.093750
0.330000	0.048828	-2.646484
0.335000	1.777344	-2.768555
0.340000	3.598633	-1.713867
0.345000	4.726562	-0.156250
0.350000	4.833984	1.225586
0.355000	4.028320	1.958008
0.360000	2.734375	1.938477
0.365000	1.450195	1.347656
0.370000	0.556641	0.541992
0.375000	0.185547	-0.131836
0.380000	0.258789	-0.463867
0.385000	0.551758	-0.405273
0.390000	0.820312	-0.083008
0.395000	0.869141	0.327148
0.400000	0.649414	0.654297
0.405000	0.209961	0.800781
0.410000	-0.317383	0.478516
0.415000	-0.610352	-0.903320
0.420000	-0.004883	-2.294922
0.425000	1.489258	-2.431641
0.430000	3.085938	-1.508789
0.435000	4.072266	-0.126953
0.440000	4.160156	1.108398
0.445000	3.437500	1.777344
0.450000	2.265625	1.772461
0.455000	1.093750	1.254883
0.460000	0.253906	0.541992
0.465000	-0.112305	-0.146484
0.470000	-0.019531	-0.668945
0.475000	0.410156	-0.703125
0.480000	0.869141	-0.332031
0.485000	1.083984	0.200195
0.490000	0.947266	0.668945
0.495000	0.502930	0.922852
0.500000	-0.107422	0.825195
0.505000	-0.629883	-0.288086
0.510000	-0.415039	-2.148438
0.515000	0.986328	-2.895508
0.520000	2.875977	-2.265625
0.525000	4.370117	-0.830078
0.530000	4.916992	0.703125
0.535000	4.453125	1.743164
0.540000	3.305664	2.031250
0.545000	1.962891	1.645508
0.550000	0.869141	0.883789
0.555000	0.278320	0.117188
0.560000	0.185547	-0.371094
0.565000	0.419922	-0.478516
0.570000	0.727539	-0.244141
0.575000	0.878906	0.151367
0.580000	0.771484	0.537109
0.585000	0.415039	0.766602
0.590000	-0.097656	0.727539
0.595000	-0.561523	-0.205078
0.600000	-0.400391	-1.840820
0.605000	0.800781	-2.524414
0.610000	2.460938	-1.987305
0.615000	3.759766	-0.722656
0.620000	4.238281	0.644531
0.625000	3.813477	1.577148
0.630000	2.778320	1.845703
0.635000	1.552734	1.513672
0.640000	0.551758	0.844727
0.645000	-0.014648	0.141602
0.650000	-0.112305	-0.507812
0.655000	0.209961	-0.747070
0.660000	0.688477	-0.522461
0.665000	1.035156	-0.024414
0.670000	1.044922	0.493164
0.675000	0.712891	0.849609
0.680000	0.156250	0.932617
0.685000	-0.458984	0.336914
0.690000	-0.639648	-1.406250
0.695000	0.288086	-2.763672
0.700000	2.089844	-2.666016
0.705000	3.837891	-1.474609
0.710000	4.814453	0.092773
0.715000	4.755859	1.391602
0.720000	3.833008	2.001953
0.725000	2.509766	1.870117
0.730000	1.269531	1.225586
0.735000	0.458984	0.419922
0.740000	0.170898	-0.209961
0.745000	0.297852	-0.478516
0.750000	0.610352	-0.371094
0.755000	0.844727	-0.014648
0.760000	0.849609	0.390625
0.765000	0.585938	0.693359
0.770000	0.126953	0.800781
0.775000	-0.400391	0.322266
0.780000	-0.590820	-1.191406
0.785000	0.200195	-2.407227
0.790000	1.772461	-2.338867
0.795000	3.305664	-1.289062
0.800000	4.155273	0.102539
