# Time_s	x	xdot
0.000000	2.353516	0.605469
0.005000	1.948242	0.849609
0.010000	1.386719	0.839844
0.015000	0.834961	0.678711
0.020000	0.375977	0.483398
0.025000	0.043945	0.327148
0.030000	-0.170898	0.078125
0.035000	-0.219727	-0.385742
0.040000	0.024414	-0.634766
0.045000	0.434570	-0.458984
0.050000	0.732422	-0.087891
0.055000	0.786133	0.283203
0.060000	0.600586	0.532227
0.065000	0.239258	0.625000
0.070000	-0.175781	0.473633
0.075000	-0.478516	-0.341797
0.080000	-0.244141	-1.342773
0.085000	0.625000	-1.499023
0.090000	1.606445	-0.991211
0.095000	2.260742	-0.239258
0.100000	2.421875	0.410156
0.105000	2.153320	0.776367
0.110000	1.635742	0.864258
0.115000	1.064453	0.756836
0.120000	0.556641	0.566406
0.125000	0.170898	0.385742
0.130000	-0.092773	0.214844
0.135000	-0.234375	-0.180664
0.140000	-0.117188	-0.585938
0.145000	0.263672	-0.576172
0.150000	0.629883	-0.253906
0.155000	0.800781	0.131836
0.160000	0.703125	0.449219
0.165000	0.410156	0.605469
0.170000	0.000000	0.605469
0.175000	-0.385742	0.087891
0.180000	-0.434570	-0.986328
0.185000	0.205078	-1.542969
0.190000	1.220703	-1.254883
0.195000	2.041016	-0.561523
0.200000	2.416992	0.156250
0.205000	2.309570	0.659180
0.210000	1.875000	0.859375
0.215000	1.298828	0.820312
0.220000	0.756836	0.649414
0.225000	0.317383	0.458984
0.230000	0.004883	0.302734
0.235000	-0.195312	0.019531
0.240000	-0.205078	-0.444336
0.245000	0.083008	-0.629883
0.250000	0.493164	-0.410156
0.255000	0.761719	-0.029297
0.260000	0.771484	0.327148
0.265000	0.556641	0.556641
0.270000	0.185547	0.625000
0.275000	-0.239258	0.400391
0.280000	-0.488281	-0.507812
0.285000	-0.146484	-1.425781
0.290000	0.781250	-1.455078
0.295000	1.733398	-0.883789
0.300000	2.324219	-0.131836
0.305000	2.407227	0.478516
0.310000	2.089844	0.805664
0.315000	1.552734	0.859375
0.320000	0.981445	0.732422
0.325000	0.488281	0.537109
0.330000	0.126953	0.366211
0.335000	-0.126953	0.170898
0.340000	-0.234375	-0.249023
0.345000	-0.073242	-0.610352
0.350000	0.317383	-0.541992
0.355000	0.668945	-0.195312
0.360000	0.800781	0.185547
0.365000	0.673828	0.473633
0.370000	0.351562	0.615234
0.375000	-0.058594	0.576172
0.380000	-0.429688	-0.048828
0.385000	-0.385742	-1.132812
0.390000	0.341797	-1.542969
0.395000	1.352539	-1.176758
0.400000	2.128906	-0.449219
0.405000	2.426758	0.249023
0.410000	2.260742	0.703125
0.415000	1.791992	0.864258
0.420000	1.225586	0.800781
0.425000	0.683594	0.620117
0.430000	0.263672	0.434570
0.435000	-0.029297	0.278320
0.440000	-0.209961	-0.043945
0.445000	-0.180664	-0.507812
0.450000	0.141602	-0.615234
0.455000	0.541992	-0.356445
0.460000	0.776367	0.029297
0.465000	0.756836	0.371094
0.470000	0.507812	0.576172
0.475000	0.122070	0.625000
0.480000	-0.292969	0.307617
0.485000	-0.483398	-0.678711
0.490000	-0.039062	-1.489258
0.495000	0.932617	-1.401367
0.500000	1.850586	-0.771484
0.505000	2.363281	-0.029297
0.510000	2.387695	0.546875
0.515000	2.016602	0.834961
0.520000	1.464844	0.849609
0.525000	0.898438	0.698242
0.530000	0.429688	0.507812
0.535000	0.083008	0.341797
0.540000	-0.151367	0.126953
0.545000	-0.234375	-0.322266
0.550000	-0.019531	-0.629883
0.555000	0.380859	-0.502930
0.560000	0.703125	-0.141602
0.565000	0.800781	0.239258
0.570000	0.634766	0.507812
0.575000	0.297852	0.620117
0.580000	-0.122070	0.537109
0.585000	-0.463867	-0.190430
0.590000	-0.322266	-1.250000
0.595000	0.493164	-1.533203
0.600000	1.489258	-1.083984
0.605000	2.207031	-0.341797
0.610000	2.431641	0.332031
0.615000	2.207031	0.742188
0.620000	1.713867	0.869141
0.625000	1.142578	0.781250
0.630000	0.615234	0.590820
0.635000	0.219727	0.410156
0.640000	-0.063477	0.249023
0.645000	-0.224609	-0.112305
0.650000	-0.151367	-0.551758
0.655000	0.205078	-0.595703
0.660000	0.590820	-0.307617
0.665000	0.791016	0.083008
0.670000	0.732422	0.415039
0.675000	0.458984	0.595703
0.680000	0.058594	0.615234
0.685000	-0.346680	0.200195
0.690000	-0.468750	-0.839844
0.695000	0.083008	-1.528320
0.700000	1.083984	-1.328125
0.705000	1.953125	-0.664062
0.710000	2.397461	0.073242
0.715000	2.348633	0.610352
0.720000	1.943359	0.849609
0.725000	1.381836	0.834961
0.730000	0.825195	0.673828
0.735000	0.366211	0.483398
0.740000	0.039062	0.327148
0.745000	-0.175781	0.073242
0.750000	-0.219727	-0.390625
0.755000	0.029297	-0.634766
0.760000	0.439453	-0.454102
0.765000	0.732422	-0.083008
0.770000	0.786133	0.288086
0.775000	0.595703	0.532227
0.780000	0.234375	0.625000
0.785000	-0.180664	0.468750
0.790000	-0.478516	-0.356445
0.795000	-0.239258	-1.352539
0.800000	0.639648	-1.499023
0.805000	1.621094	-0.981445
0.810000	2.270508	-0.229492
0.815000	2.421875	0.415039
0.820000	2.148438	0.776367
0.825000	1.630859	0.864258
0.830000	1.054688	0.751953
0.835000	0.551758	0.561523
0.840000	0.166016	0.385742
0.845000	-0.092773	0.209961
0.850000	-0.234375	-0.180664
0.855000	-0.112305	-0.590820
0.860000	0.263672	-0.566406
0.865000	0.634766	-0.253906
0.870000	0.795898	0.141602
0.875000	0.698242	0.449219
0.880000	0.405273	0.605469
0.885000	-0.004883	0.600586
0.890000	-0.395508	0.078125
0.895000	-0.434570	-1.000977
0.900000	0.219727	-1.542969
0.905000	1.230469	-1.250000
0.910000	2.050781	-0.551758
0.915000	2.412109	0.166016
0.920000	2.304688	0.659180
0.925000	1.865234	0.859375
0.930000	1.289062	0.815430
0.935000	0.751953	0.644531
0.940000	0.312500	0.458984
0.945000	0.000000	0.302734
0.950000	-0.200195	0.009766
0.955000	-0.205078	-0.454102
0.960000	0.087891	-0.629883
0.965000	0.493164	-0.405273
0.970000	0.761719	-0.024414
0.975000	0.771484	0.332031
0.980000	0.551758	0.556641
0.985000	0.175781	0.625000
0.990000	-0.244141	0.395508
0.995000	-0.488281	-0.522461
1.000000	-0.141602	-1.435547
1.005000	0.795898	-1.450195
1.010000	1.743164	-0.874023
1.015000	2.324219	-0.122070
1.020000	2.407227	0.488281
1.025000	2.084961	0.810547
1.030000	1.542969	0.854492
1.035000	0.976562	0.727539
1.040000	0.483398	0.537109
1.045000	0.122070	0.361328
1.050000	-0.126953	0.170898
1.055000	-0.239258	-0.253906
1.060000	-0.068359	-0.615234
1.065000	0.327148	-0.532227
1.070000	0.673828	-0.195312
1.075000	0.800781	0.190430
1.080000	0.668945	0.478516
1.085000	0.346680	0.615234
1.090000	-0.063477	0.571289
1.095000	-0.439453	-0.063477
1.100000	-0.380859	-1.142578
1.105000	0.356445	-1.542969
1.110000	1.367188	-1.166992
1.115000	2.138672	-0.434570
1.120000	2.431641	0.258789
1.125000	2.255859	0.708008
1.130000	1.787109	0.864258
1.135000	1.215820	0.800781
1.140000	0.678711	0.615234
1.145000	0.258789	0.424805
1.150000	-0.029297	0.273438
1.155000	-0.214844	-0.048828
1.160000	-0.175781	-0.512695
1.165000	0.146484	-0.615234
1.170000	0.546875	-0.356445
1.175000	0.776367	0.034180
1.180000	0.756836	0.375977
1.185000	0.502930	0.576172
1.190000	0.112305	0.625000
1.195000	-0.297852	0.302734
1.200000	-0.483398	-0.693359
1.205000	-0.024414	-1.489258
1.210000	0.947266	-1.396484
1.215000	1.860352	-0.766602
1.220000	2.368164	-0.014648
1.225000	2.377930	0.551758
1.230000	2.006836	0.830078
1.235000	1.455078	0.849609
1.240000	0.893555	0.698242
1.245000	0.419922	0.502930
1.250000	0.078125	0.341797
1.255000	-0.151367	0.122070
1.260000	-0.234375	-0.322266
1.265000	-0.019531	-0.629883
1.270000	0.385742	-0.498047
1.275000	0.708008	-0.136719
1.280000	0.795898	0.244141
1.285000	0.629883	0.507812
1.290000	0.292969	0.615234
1.295000	-0.126953	0.527344
1.300000	-0.463867	-0.209961
1.305000	-0.317383	-1.259766
1.310000	0.507812	-1.528320
1.315000	1.503906	-1.069336
1.320000	2.207031	-0.327148
1.325000	2.426758	0.341797
1.330000	2.202148	0.751953
1.335000	1.704102	0.864258
1.340000	1.127930	0.771484
1.345000	0.605469	0.585938
1.350000	0.209961	0.405273
1.355000	-0.068359	0.244141
1.360000	-0.229492	-0.117188
1.365000	-0.146484	-0.556641
1.370000	0.209961	-0.595703
1.375000	0.595703	-0.302734
1.380000	0.786133	0.092773
1.385000	0.732422	0.415039
1.390000	0.454102	0.595703
1.395000	0.053711	0.615234
1.400000	-0.351562	0.195312
1.405000	-0.463867	-0.859375
1.410000	0.097656	-1.528320
1.415000	1.098633	-1.323242
1.420000	1.967773	-0.654297
1.425000	2.402344	0.083008
1.430000	2.343750	0.610352
1.435000	1.938477	0.849609
1.440000	1.372070	0.834961
1.445000	0.815430	0.673828
1.450000	0.366211	0.478516
1.455000	0.034180	0.322266
1.460000	-0.175781	0.068359
1.465000	-0.219727	-0.395508
1.470000	0.034180	-0.634766
1.475000	0.449219	-0.449219
1.480000	0.737305	-0.078125
1.485000	0.786133	0.292969
1.490000	0.590820	0.537109
1.495000	0.229492	0.625000
1.500000	-0.190430	0.463867
1.505000	-0.483398	-0.371094
1.510000	-0.229492	-1.362305
1.515000	0.654297	-1.494141
1.520000	1.635742	-0.971680
1.525000	2.275391	-0.219727
1.530000	2.421875	0.419922
1.535000	2.143555	0.781250
1.540000	1.621094	0.869141
1.545000	1.044922	0.751953
1.550000	0.541992	0.561523
1.555000	0.161133	0.380859
1.560000	-0.092773	0.209961
1.565000	-0.234375	-0.190430
1.570000	-0.107422	-0.595703
1.575000	0.273438	-0.566406
1.580000	0.639648	-0.249023
1.585000	0.800781	0.141602
