# Time_s	x	xdot
0.000000	4.575195	1.572266
0.005000	3.540039	2.060547
0.010000	2.182617	1.816406
0.015000	0.981445	1.088867
0.020000	0.249023	0.273438
0.025000	0.058594	-0.317383
0.030000	0.258789	-0.522461
0.035000	0.600586	-0.351562
0.040000	0.825195	0.039062
0.045000	0.795898	0.468750
0.050000	0.483398	0.756836
0.055000	-0.024414	0.800781
0.060000	-0.546875	-0.004883
0.065000	-0.507812	-1.728516
0.070000	0.625000	-2.670898
0.075000	2.377930	-2.280273
0.080000	3.872070	-1.010742
0.085000	4.541016	0.473633
0.090000	4.223633	1.572266
0.095000	3.188477	1.977539
0.100000	1.879883	1.699219
0.105000	0.756836	0.991211
0.110000	0.087891	0.219727
0.115000	-0.063477	-0.395508
0.120000	0.180664	-0.620117
0.125000	0.585938	-0.429688
0.130000	0.859375	0.004883
0.135000	0.854492	0.473633
0.140000	0.537109	0.795898
0.145000	0.004883	0.859375
0.150000	-0.551758	0.053711
0.155000	-0.556641	-1.748047
0.160000	0.595703	-2.817383
0.165000	2.436523	-2.465820
0.170000	4.052734	-1.157227
0.175000	4.819336	0.410156
0.180000	4.550781	1.596680
0.185000	3.500977	2.060547
0.190000	2.138672	1.796875
0.195000	0.952148	1.064453
0.200000	0.229492	0.249023
0.205000	0.058594	-0.336914
0.210000	0.268555	-0.522461
0.215000	0.610352	-0.341797
0.220000	0.830078	0.058594
0.225000	0.786133	0.478516
0.230000	0.468750	0.761719
0.235000	-0.043945	0.791016
0.240000	-0.551758	-0.053711
0.245000	-0.488281	-1.782227
0.250000	0.678711	-2.680664
0.255000	2.436523	-2.250977
0.260000	3.911133	-0.961914
0.265000	4.541016	0.522461
0.270000	4.204102	1.601562
0.275000	3.144531	1.982422
0.280000	1.840820	1.684570
0.285000	0.722656	0.966797
0.290000	0.073242	0.200195
0.295000	-0.063477	-0.405273
0.300000	0.195312	-0.615234
0.305000	0.600586	-0.419922
0.310000	0.864258	0.019531
0.315000	0.849609	0.493164
0.320000	0.522461	0.800781
0.325000	-0.014648	0.849609
0.330000	-0.561523	0.009766
0.335000	-0.541992	-1.811523
0.340000	0.644531	-2.827148
0.345000	2.495117	-2.436523
0.350000	4.091797	-1.108398
0.355000	4.824219	0.458984
0.360000	4.526367	1.625977
0.365000	3.457031	2.060547
0.370000	2.089844	1.777344
0.375000	0.917969	1.040039
0.380000	0.224609	0.224609
0.385000	0.058594	-0.346680
0.390000	0.278320	-0.522461
0.395000	0.620117	-0.332031
0.400000	0.834961	0.068359
0.405000	0.781250	0.488281
0.410000	0.454102	0.766602
0.415000	-0.058594	0.781250
0.420000	-0.561523	-0.102539
0.425000	-0.468750	-1.835938
0.430000	0.732422	-2.685547
0.435000	2.490234	-2.216797
0.440000	3.945312	-0.913086
0.445000	4.545898	0.566406
0.450000	4.174805	1.625977
0.455000	3.105469	1.977539
0.460000	1.796875	1.660156
0.465000	0.693359	0.937500
0.470000	0.063477	0.170898
0.475000	-0.058594	-0.419922
0.480000	0.209961	-0.620117
0.485000	0.615234	-0.410156
0.490000	0.874023	0.039062
0.495000	0.844727	0.502930
0.500000	0.507812	0.810547
0.505000	-0.034180	0.844727
0.510000	-0.576172	-0.039062
0.515000	-0.517578	-1.870117
0.520000	0.703125	-2.836914
0.525000	2.553711	-2.402344
0.530000	4.130859	-1.054688
0.535000	4.833984	0.507812
0.540000	4.497070	1.650391
0.545000	3.413086	2.060547
0.550000	2.045898	1.752930
0.555000	0.888672	1.010742
0.560000	0.209961	0.200195
0.565000	0.063477	-0.361328
0.570000	0.292969	-0.522461
0.575000	0.625000	-0.322266
0.580000	0.834961	0.087891
0.585000	0.771484	0.502930
0.590000	0.439453	0.771484
0.595000	-0.078125	0.771484
0.600000	-0.571289	-0.156250
0.605000	-0.449219	-1.889648
0.610000	0.786133	-2.690430
0.615000	2.543945	-2.182617
0.620000	3.979492	-0.864258
0.625000	4.550781	0.615234
0.630000	4.150391	1.645508
0.635000	3.061523	1.982422
0.640000	1.752930	1.640625
0.645000	0.664062	0.908203
0.650000	0.053711	0.151367
0.655000	-0.053711	-0.439453
0.660000	0.224609	-0.620117
0.665000	0.620117	-0.395508
0.670000	0.878906	0.053711
0.675000	0.834961	0.517578
0.680000	0.493164	0.820312
0.685000	-0.048828	0.834961
0.690000	-0.590820	-0.092773
0.695000	-0.493164	-1.928711
0.700000	0.761719	-2.841797
0.705000	2.617188	-2.368164
0.710000	4.179688	-1.000977
0.715000	4.838867	0.561523
0.720000	4.472656	1.679688
0.725000	3.369141	2.060547
0.730000	2.001953	1.738281
0.735000	0.854492	0.981445
0.740000	0.195312	0.175781
0.745000	0.068359	-0.371094
0.750000	0.297852	-0.517578
0.755000	0.639648	-0.312500
0.760000	0.839844	0.102539
0.765000	0.766602	0.517578
0.770000	0.419922	0.776367
0.775000	-0.097656	0.761719
0.780000	-0.585938	-0.209961
0.785000	-0.419922	-1.938477
0.790000	0.844727	-2.695312
0.795000	2.607422	-2.148438
0.800000	4.018555	-0.805664
0.805000	4.550781	0.659180
0.810000	4.116211	1.674805
0.815000	3.017578	1.982422
0.820000	1.708984	1.621094
0.825000	0.634766	0.888672
0.830000	0.039062	0.122070
0.835000	-0.048828	-0.449219
0.840000	0.234375	-0.615234
0.845000	0.634766	-0.385742
0.850000	0.888672	0.073242
0.855000	0.830078	0.532227
0.860000	0.473633	0.825195
0.865000	-0.073242	0.825195
0.870000	-0.600586	-0.146484
0.875000	-0.473633	-1.982422
0.880000	0.825195	-2.851562
0.885000	2.680664	-2.329102
0.890000	4.213867	-0.947266
0.895000	4.843750	0.605469
0.900000	4.448242	1.708984
0.905000	3.320312	2.060547
0.910000	1.958008	1.713867
0.915000	0.820312	0.952148
0.920000	0.180664	0.146484
0.925000	0.068359	-0.385742
0.930000	0.312500	-0.517578
0.935000	0.649414	-0.297852
0.940000	0.844727	0.117188
0.945000	0.761719	0.527344
0.950000	0.405273	0.786133
0.955000	-0.117188	0.747070
0.960000	-0.600586	-0.258789
0.965000	-0.395508	-1.987305
0.970000	0.903320	-2.695312
0.975000	2.661133	-2.114258
0.980000	4.052734	-0.761719
0.985000	4.550781	0.698242
0.990000	4.091797	1.699219
0.995000	2.973633	1.977539
1.000000	1.669922	1.596680
1.005000	0.610352	0.859375
1.010000	0.029297	0.102539
1.015000	-0.048828	-0.463867
1.020000	0.249023	-0.615234
1.025000	0.644531	-0.371094
1.030000	0.888672	0.087891
1.035000	0.825195	0.541992
1.040000	0.463867	0.830078
1.045000	-0.092773	0.810547
1.050000	-0.610352	-0.200195
1.055000	-0.449219	-2.036133
1.060000	0.883789	-2.851562
1.065000	2.749023	-2.294922
1.070000	4.252930	-0.893555
1.075000	4.848633	0.649414
1.080000	4.418945	1.733398
1.085000	3.281250	2.060547
1.090000	1.914062	1.694336
1.095000	0.791016	0.927734
1.100000	0.166016	0.126953
1.105000	0.073242	-0.395508
1.110000	0.322266	-0.522461
1.115000	0.659180	-0.288086
1.120000	0.844727	0.131836
1.125000	0.751953	0.537109
1.130000	0.390625	0.791016
1.135000	-0.136719	0.732422
1.140000	-0.605469	-0.312500
1.145000	-0.371094	-2.031250
1.150000	0.957031	-2.695312
1.155000	2.719727	-2.075195
1.160000	4.082031	-0.703125
1.165000	4.550781	0.737305
1.170000	4.062500	1.723633
1.175000	2.929688	1.977539
1.180000	1.625977	1.577148
1.185000	0.581055	0.830078
1.190000	0.019531	0.078125
1.195000	-0.043945	-0.478516
1.200000	0.263672	-0.610352
1.205000	0.659180	-0.356445
1.210000	0.888672	0.107422
1.215000	0.815430	0.556641
1.220000	0.444336	0.834961
1.225000	-0.112305	0.795898
1.230000	-0.620117	-0.258789
1.235000	-0.419922	-2.089844
1.240000	0.942383	-2.856445
1.245000	2.802734	-2.260742
1.250000	4.291992	-0.839844
1.255000	4.848633	0.693359
1.260000	4.384766	1.752930
1.265000	3.232422	2.060547
1.270000	1.870117	1.669922
1.275000	0.761719	0.898438
1.280000	0.156250	0.107422
1.285000	0.073242	-0.405273
1.290000	0.336914	-0.517578
1.295000	0.668945	-0.273438
1.300000	0.844727	0.146484
1.305000	0.742188	0.551758
1.310000	0.375977	0.795898
1.315000	-0.156250	0.717773
1.320000	-0.610352	-0.371094
1.325000	-0.341797	-2.080078
1.330000	1.015625	-2.690430
1.335000	2.778320	-2.036133
1.340000	4.116211	-0.654297
1.345000	4.545898	0.786133
1.350000	4.033203	1.738281
1.355000	2.885742	1.967773
1.360000	1.582031	1.552734
1.365000	0.556641	0.800781
1.370000	0.009766	0.053711
1.375000	-0.029297	-0.488281
1.380000	0.278320	-0.610352
1.385000	0.673828	-0.341797
1.390000	0.888672	0.122070
1.395000	0.805664	0.571289
1.400000	0.424805	0.839844
1.405000	-0.136719	0.781250
1.410000	-0.629883	-0.317383
1.415000	-0.395508	-2.138672
1.420000	1.000977	-2.856445
1.425000	2.866211	-2.221680
1.430000	4.326172	-0.786133
1.435000	4.848633	0.742188
1.440000	4.355469	1.777344
1.445000	3.183594	2.055664
1.450000	1.826172	1.650391
1.455000	0.732422	0.869141
1.460000	0.146484	0.083008
1.465000	0.083008	-0.419922
1.470000	0.346680	-0.512695
1.475000	0.678711	-0.263672
1.480000	0.849609	0.156250
1.485000	0.732422	0.566406
1.490000	0.356445	0.800781
1.495000	-0.170898	0.703125
1.500000	-0.620117	-0.424805
1.505000	-0.312500	-2.124023
1.510000	1.074219	-2.685547
1.515000	2.827148	-1.997070
1.520000	4.145508	-0.605469
1.525000	4.550781	0.830078
1.530000	4.003906	1.757812
1.535000	2.841797	1.962891
1.540000	1.542969	1.538086
1.545000	0.527344	0.776367
1.550000	0.000000	0.034180
1.555000	-0.029297	-0.498047
1.560000	0.288086	-0.605469
1.565000	0.678711	-0.327148
1.570000	0.893555	0.141602
1.575000	0.795898	0.581055
1.580000	0.410156	0.849609
1.585000	-0.156250	0.766602
1.590000	-0.629883	-0.375977
1.595000	-0.361328	-2.182617
1.600000	1.064453	-2.851562
1.605000	2.929688	-2.177734
1.610000	4.360352	-0.727539
1.615000	4.848633	0.786133
1.620000	4.331055	1.801758
1.625000	3.139648	2.050781
1.630000	1.787109	1.630859
1.635000	0.703125	0.839844
1.640000	0.136719	0.058594
1.645000	0.087891	-0.429688
1.650000	0.356445	-0.512695
1.655000	0.683594	-0.249023
1.660000	0.849609	0.175781
1.665000	0.727539	0.576172
1.670000	0.341797	0.800781
1.675000	-0.195312	0.688477
1.680000	-0.625000	-0.483398
1.685000	-0.283203	-2.163086
1.690000	1.132812	-2.680664
1.695000	2.890625	-1.958008
1.700000	4.179688	-0.551758
