# Time_s	x	xdot
0.000000	0.332031	0.454102
0.005000	0.014648	-0.332031
0.010000	0.224609	-0.698242
0.015000	0.673828	-0.585938
0.020000	1.054688	-0.146484
0.025000	1.147461	0.390625
0.030000	0.883789	0.805664
0.035000	0.346680	0.966797
0.040000	-0.297852	0.644531
0.045000	-0.688477	-0.898438
0.050000	-0.083008	-2.666016
0.055000	1.650391	-3.002930
0.060000	3.632812	-2.021484
0.065000	4.956055	-0.361328
0.070000	5.195312	1.220703
0.075000	4.389648	2.143555
0.080000	2.978516	2.216797
0.085000	1.513672	1.582031
0.090000	0.458984	0.629883
0.095000	0.029297	-0.209961
0.100000	0.161133	-0.664062
0.105000	0.590820	-0.639648
0.110000	1.005859	-0.244141
0.115000	1.157227	0.292969
0.120000	0.961914	0.747070
0.125000	0.463867	0.957031
0.130000	-0.175781	0.791016
0.135000	-0.668945	-0.517578
0.140000	-0.302734	-2.426758
0.145000	1.274414	-3.056641
0.150000	3.276367	-2.285156
0.155000	4.780273	-0.693359
0.160000	5.239258	0.957031
0.165000	4.604492	2.036133
0.170000	3.266602	2.260742
0.175000	1.767578	1.738281
0.180000	0.610352	0.815430
0.185000	0.058594	-0.078125
0.190000	0.102539	-0.620117
0.195000	0.498047	-0.673828
0.200000	0.937500	-0.336914
0.205000	1.157227	0.195312
0.210000	1.020508	0.673828
0.215000	0.576172	0.937500
0.220000	-0.053711	0.883789
0.225000	-0.620117	-0.175781
0.230000	-0.478516	-2.128906
0.235000	0.917969	-3.051758
0.240000	2.915039	-2.509766
0.245000	4.565430	-1.020508
0.250000	5.239258	0.673828
0.255000	4.794922	1.894531
0.260000	3.549805	2.285156
0.265000	2.036133	1.879883
0.270000	0.791016	1.005859
0.275000	0.117188	0.073242
0.280000	0.058594	-0.551758
0.285000	0.410156	-0.703125
0.290000	0.869141	-0.424805
0.295000	1.142578	0.092773
0.300000	1.079102	0.600586
0.305000	0.673828	0.913086
0.310000	0.068359	0.937500
0.315000	-0.541992	0.131836
0.320000	-0.595703	-1.782227
0.325000	0.581055	-3.002930
0.330000	2.539062	-2.709961
0.335000	4.321289	-1.333008
0.340000	5.200195	0.375977
0.345000	4.960938	1.723633
0.350000	3.818359	2.280273
0.355000	2.319336	2.006836
0.360000	0.991211	1.181641
0.365000	0.195312	0.234375
0.370000	0.029297	-0.468750
0.375000	0.327148	-0.712891
0.380000	0.791016	-0.502930
0.385000	1.113281	-0.014648
0.390000	1.113281	0.512695
0.395000	0.771484	0.874023
0.400000	0.190430	0.961914
0.405000	-0.444336	0.385742
0.410000	-0.664062	-1.396484
0.415000	0.263672	-2.890625
0.420000	2.158203	-2.866211
0.425000	4.033203	-1.645508
0.430000	5.117188	0.058594
0.435000	5.078125	1.518555
