# Time_s	x	xdot	xddot	xdddot	dx
0.000000	-0.131836	0.205078	0.551758	-1.342773	1.420898
0.005000	0.034180	-0.776367	-0.253906	0.605469	1.420898
0.010000	1.035156	0.087891	-0.649414	-0.522461	1.420898
0.015000	0.385742	0.800781	0.166016	-2.998047	1.420898
0.020000	-0.551758	-1.093750	1.459961	2.045898	1.420898
0.025000	2.187500	-1.494141	-1.591797	0.439453	1.420898
0.030000	3.364258	0.908203	-0.556641	-1.274414	1.420898
0.035000	1.494141	1.069336	0.595703	-0.673828	1.420898
0.040000	0.200195	0.166016	0.200195	-0.034180	1.420898
0.045000	0.039062	0.107422	-0.205078	-0.859375	1.420898
0.050000	-0.249023	-0.073242	0.844727	0.424805	1.420898
0.055000	0.458984	-0.668945	-0.629883	0.239258	1.420898
0.060000	1.005859	0.463867	-0.415039	-0.737305	1.420898
0.065000	-0.058594	0.703125	1.235352	-3.330078	1.420898
0.070000	-0.009766	-1.982422	-0.034180	1.962891	1.420898
0.075000	3.056641	-0.625000	-1.547852	-0.410156	1.420898
0.080000	2.885742	1.245117	0.004883	-1.250000	1.420898
0.085000	0.883789	0.742188	0.581055	-0.361328	1.425781
0.090000	0.087891	0.039062	-0.004883	-0.043945	1.420898
0.095000	-0.014648	0.219727	0.048828	-1.572266	1.420898
0.100000	-0.229492	-0.532227	0.356445	0.771484	1.420898
0.105000	0.834961	-0.327148	-0.751953	-0.180664	1.420898
0.110000	0.766602	0.703125	-0.136719	-0.795898	1.420898
0.115000	-0.463867	0.083008	2.216797	0.322266	1.420898
0.120000	1.054688	-2.045898	-1.098633	1.318359	1.420898
0.125000	3.457031	0.249023	-1.127930	-1.005859	1.420898
0.130000	2.202148	1.274414	0.410156	-1.005859	1.420898
0.135000	0.449219	0.415039	0.424805	-0.131836	1.420898
0.140000	0.058594	0.029297	-0.156250	-0.136719	1.420898
0.145000	-0.131836	0.205078	0.556641	-1.328125	1.420898
0.150000	0.039062	-0.776367	-0.263672	0.600586	1.420898
0.155000	1.035156	0.087891	-0.649414	-0.527344	1.420898
0.160000	0.375977	0.800781	0.170898	-3.017578	1.420898
0.165000	-0.551758	-1.113281	1.440430	2.045898	1.425781
0.170000	2.202148	-1.479492	-1.596680	0.429688	1.420898
0.175000	3.359375	0.917969	-0.546875	-1.274414	1.416016
0.180000	1.484375	1.064453	0.595703	-0.668945	1.416016
0.185000	0.195312	0.166016	0.200195	-0.034180	1.420898
0.190000	0.034180	0.107422	-0.205078	-0.874023	1.420898
0.195000	-0.253906	-0.083008	0.844727	0.458984	1.420898
0.200000	0.463867	-0.664062	-0.639648	0.234375	1.420898
0.205000	1.010742	0.463867	-0.410156	-0.737305	1.420898
0.210000	-0.063477	0.708008	1.235352	-3.315430	1.420898
0.215000	-0.004883	-1.987305	-0.048828	1.958008	1.420898
0.220000	3.061523	-0.620117	-1.552734	-0.410156	1.420898
0.225000	2.880859	1.250000	0.009766	-1.250000	1.416016
0.230000	0.878906	0.742188	0.581055	-0.361328	1.420898
0.235000	0.087891	0.039062	-0.009766	-0.048828	1.420898
0.240000	-0.019531	0.219727	0.048828	-1.572266	1.420898
0.245000	-0.224609	-0.537109	0.346680	0.766602	1.416016
0.250000	0.839844	-0.322266	-0.751953	-0.180664	1.420898
0.255000	0.766602	0.703125	-0.136719	-0.795898	1.420898
0.260000	-0.468750	0.068359	2.216797	0.395508	1.420898
0.265000	1.069336	-2.045898	-1.108398	1.308594	1.425781
0.270000	3.457031	0.258789	-1.123047	-1.010742	1.420898
0.275000	2.197266	1.269531	0.415039	-1.000977	1.420898
0.280000	0.444336	0.410156	0.419922	-0.131836	1.420898
0.285000	0.058594	0.029297	-0.156250	-0.136719	1.420898
0.290000	-0.136719	0.205078	0.561523	-1.323242	1.420898
0.295000	0.043945	-0.781250	-0.268555	0.595703	1.420898
0.300000	1.040039	0.092773	-0.644531	-0.532227	1.420898
0.305000	0.375977	0.800781	0.175781	-3.027344	1.420898
0.310000	-0.546875	-1.113281	1.430664	2.045898	1.420898
0.315000	2.207031	-1.479492	-1.596680	0.424805	1.420898
0.320000	3.354492	0.917969	-0.546875	-1.274414	1.420898
0.325000	1.479492	1.064453	0.595703	-0.673828	1.420898
0.330000	0.190430	0.161133	0.200195	-0.029297	1.420898
0.335000	0.039062	0.107422	-0.205078	-0.883789	1.420898
0.340000	-0.253906	-0.087891	0.844727	0.478516	1.420898
0.345000	0.463867	-0.659180	-0.639648	0.229492	1.420898
0.350000	1.000977	0.463867	-0.410156	-0.737305	1.420898
0.355000	-0.068359	0.698242	1.259766	-3.295898	1.420898
0.360000	0.009766	-1.992188	-0.068359	1.953125	1.420898
0.365000	3.071289	-0.610352	-1.542969	-0.424805	1.420898
0.370000	2.871094	1.250000	0.014648	-1.250000	1.420898
0.375000	0.874023	0.732422	0.576172	-0.361328	1.420898
0.380000	0.083008	0.034180	-0.009766	-0.048828	1.420898
0.385000	-0.019531	0.219727	0.053711	-1.577148	1.420898
0.390000	-0.224609	-0.541992	0.346680	0.771484	1.420898
0.395000	0.844727	-0.322266	-0.756836	-0.185547	1.420898
0.400000	0.766602	0.708008	-0.131836	-0.795898	1.420898
0.405000	-0.463867	0.073242	2.211914	0.380859	1.420898
0.410000	1.069336	-2.045898	-1.108398	1.308594	1.420898
0.415000	3.457031	0.253906	-1.132812	-1.010742	1.420898
0.420000	2.197266	1.269531	0.410156	-1.000977	1.420898
0.425000	0.444336	0.410156	0.419922	-0.131836	1.420898
0.430000	0.053711	0.029297	-0.156250	-0.141602	1.420898
0.435000	-0.136719	0.200195	0.561523	-1.318359	1.416016
0.440000	0.043945	-0.776367	-0.268555	0.595703	1.420898
0.445000	1.035156	0.097656	-0.639648	-0.532227	1.420898
0.450000	0.371094	0.800781	0.185547	-3.051758	1.420898
0.455000	-0.546875	-1.127930	1.411133	2.050781	1.420898
0.460000	2.216797	-1.474609	-1.596680	0.410156	1.420898
0.465000	3.354492	0.922852	-0.541992	-1.274414	1.420898
0.470000	1.474609	1.059570	0.600586	-0.668945	1.420898
0.475000	0.190430	0.161133	0.200195	-0.029297	1.420898
0.480000	0.039062	0.107422	-0.205078	-0.883789	1.420898
0.485000	-0.253906	-0.087891	0.844727	0.493164	1.420898
0.490000	0.468750	-0.664062	-0.644531	0.229492	1.420898
0.495000	1.000977	0.468750	-0.405273	-0.742188	1.420898
0.500000	-0.068359	0.703125	1.259766	-3.300781	1.420898
0.505000	0.009766	-1.992188	-0.063477	1.953125	1.420898
0.510000	3.066406	-0.610352	-1.542969	-0.419922	1.420898
0.515000	2.871094	1.250000	0.014648	-1.250000	1.420898
0.520000	0.874023	0.737305	0.576172	-0.356445	1.420898
0.525000	0.083008	0.034180	-0.009766	-0.048828	1.420898
0.530000	-0.019531	0.219727	0.058594	-1.577148	1.420898
0.535000	-0.224609	-0.546875	0.336914	0.766602	1.420898
0.540000	0.844727	-0.317383	-0.751953	-0.190430	1.420898
0.545000	0.751953	0.708008	-0.131836	-0.795898	1.420898
0.550000	-0.473633	0.043945	2.226562	0.537109	1.416016
0.555000	1.098633	-2.036133	-1.127930	1.284180	1.420898
0.560000	3.461914	0.278320	-1.113281	-1.020508	1.420898
0.565000	2.182617	1.269531	0.419922	-0.996094	1.420898
0.570000	0.434570	0.400391	0.415039	-0.131836	1.420898
0.575000	0.053711	0.029297	-0.161133	-0.146484	1.420898
0.580000	-0.141602	0.195312	0.576172	-1.298828	1.420898
0.585000	0.053711	-0.781250	-0.288086	0.590820	1.420898
0.590000	1.044922	0.102539	-0.639648	-0.537109	1.420898
0.595000	0.366211	0.800781	0.190430	-3.071289	1.420898
0.600000	-0.541992	-1.147461	1.391602	2.055664	1.420898
0.605000	2.231445	-1.464844	-1.601562	0.395508	1.420898
0.610000	3.349609	0.927734	-0.532227	-1.279297	1.420898
0.615000	1.464844	1.054688	0.600586	-0.659180	1.420898
0.620000	0.190430	0.156250	0.195312	-0.029297	1.420898
0.625000	0.034180	0.107422	-0.205078	-0.898438	1.420898
0.630000	-0.253906	-0.092773	0.844727	0.532227	1.420898
0.635000	0.473633	-0.654297	-0.644531	0.219727	1.420898
0.640000	1.000977	0.473633	-0.400391	-0.742188	1.420898
0.645000	-0.078125	0.693359	1.284180	-3.261719	1.420898
0.650000	0.029297	-2.006836	-0.092773	1.948242	1.420898
0.655000	3.085938	-0.590820	-1.538086	-0.444336	1.420898
0.660000	2.861328	1.254883	0.029297	-1.245117	1.416016
0.665000	0.859375	0.727539	0.576172	-0.351562	1.420898
0.670000	0.083008	0.029297	-0.009766	-0.048828	1.420898
0.675000	-0.019531	0.219727	0.068359	-1.586914	1.420898
0.680000	-0.219727	-0.551758	0.327148	0.766602	1.420898
0.685000	0.849609	-0.312500	-0.756836	-0.200195	1.420898
0.690000	0.751953	0.712891	-0.126953	-0.795898	1.420898
0.695000	-0.478516	0.039062	2.231445	0.600586	1.420898
0.700000	1.108398	-2.036133	-1.142578	1.274414	1.420898
0.705000	3.457031	0.288086	-1.103516	-1.025391	1.420898
0.710000	2.172852	1.269531	0.424805	-0.991211	1.420898
0.715000	0.434570	0.400391	0.410156	-0.126953	1.420898
0.720000	0.053711	0.029297	-0.166016	-0.156250	1.420898
0.725000	-0.141602	0.195312	0.581055	-1.284180	1.420898
0.730000	0.058594	-0.781250	-0.288086	0.585938	1.420898
0.735000	1.044922	0.112305	-0.634766	-0.541992	1.420898
0.740000	0.361328	0.800781	0.200195	-3.090820	1.420898
0.745000	-0.537109	-1.166992	1.367188	2.055664	1.420898
0.750000	2.250977	-1.445312	-1.601562	0.385742	1.420898
0.755000	3.344727	0.937500	-0.522461	-1.279297	1.420898
0.760000	1.455078	1.049805	0.600586	-0.659180	1.420898
0.765000	0.185547	0.151367	0.190430	-0.029297	1.416016
0.770000	0.034180	0.107422	-0.205078	-0.913086	1.420898
0.775000	-0.253906	-0.097656	0.844727	0.566406	1.420898
0.780000	0.483398	-0.649414	-0.649414	0.214844	1.416016
0.785000	1.000977	0.478516	-0.395508	-0.747070	1.420898
0.790000	-0.083008	0.688477	1.303711	-3.237305	1.420898
0.795000	0.039062	-2.011719	-0.112305	1.938477	1.420898
0.800000	3.090820	-0.576172	-1.533203	-0.454102	1.420898
0.805000	2.851562	1.254883	0.034180	-1.240234	1.420898
0.810000	0.854492	0.722656	0.576172	-0.346680	1.420898
0.815000	0.083008	0.029297	-0.014648	-0.048828	1.420898
0.820000	-0.024414	0.224609	0.068359	-1.596680	1.420898
0.825000	-0.219727	-0.561523	0.322266	0.771484	1.420898
0.830000	0.854492	-0.307617	-0.756836	-0.200195	1.420898
0.835000	0.751953	0.712891	-0.122070	-0.800781	1.420898
0.840000	-0.473633	0.029297	2.231445	0.615234	1.420898
