# Time_s	x	xdot
0.000000	-0.253906	-0.185547
0.005000	-0.126953	-0.639648
0.010000	0.283203	-0.634766
0.015000	0.693359	-0.312500
0.020000	0.898438	0.102539
0.025000	0.830078	0.424805
0.030000	0.541992	0.600586
0.035000	0.146484	0.620117
0.040000	-0.273438	0.327148
0.045000	-0.478516	-0.610352
0.050000	-0.068359	-1.406250
0.055000	0.844727	-1.337891
0.060000	1.723633	-0.756836
0.065000	2.226562	-0.043945
0.070000	2.255859	0.502930
0.075000	1.923828	0.776367
0.080000	1.401367	0.810547
0.085000	0.869141	0.683594
0.090000	0.410156	0.507812
0.095000	0.063477	0.361328
0.100000	-0.175781	0.107422
0.105000	-0.244141	-0.390625
0.110000	0.004883	-0.693359
0.115000	0.458984	-0.537109
0.120000	0.805664	-0.151367
0.125000	0.903320	0.239258
0.130000	0.737305	0.517578
0.135000	0.395508	0.620117
0.140000	-0.019531	0.581055
0.145000	-0.400391	0.024414
0.150000	-0.400391	-1.020508
0.155000	0.258789	-1.479492
0.160000	1.225586	-1.157227
0.165000	1.982422	-0.473633
0.170000	2.294922	0.195312
0.175000	2.167969	0.644531
0.180000	1.733398	0.815430
0.185000	1.196289	0.771484
0.190000	0.678711	0.615234
0.195000	0.263672	0.449219
0.200000	-0.043945	0.292969
0.205000	-0.234375	-0.068359
0.210000	-0.185547	-0.566406
0.215000	0.175781	-0.673828
0.220000	0.615234	-0.400391
0.225000	0.878906	0.009766
0.230000	0.869141	0.366211
0.235000	0.620117	0.576172
0.240000	0.234375	0.629883
0.245000	-0.185547	0.454102
0.250000	-0.468750	-0.366211
0.255000	-0.219727	-1.308594
0.260000	0.629883	-1.416016
0.265000	1.562500	-0.908203
0.270000	2.163086	-0.195312
0.275000	2.290039	0.405273
0.280000	2.026367	0.747070
0.285000	1.533203	0.820312
0.290000	0.986328	0.717773
0.295000	0.498047	0.546875
0.300000	0.131836	0.390625
0.305000	-0.131836	0.190430
0.310000	-0.253906	-0.273438
0.315000	-0.078125	-0.668945
0.320000	0.356445	-0.600586
0.325000	0.742188	-0.244141
0.330000	0.908203	0.161133
0.335000	0.795898	0.463867
0.340000	0.483398	0.615234
0.345000	0.068359	0.615234
0.350000	-0.327148	0.209961
0.355000	-0.454102	-0.791016
0.360000	0.063477	-1.450195
0.365000	1.015625	-1.264648
0.370000	1.850586	-0.634766
0.375000	2.270508	0.063477
0.380000	2.226562	0.571289
0.385000	1.850586	0.800781
0.390000	1.308594	0.795898
0.395000	0.786133	0.654297
0.400000	0.341797	0.483398
0.405000	0.014648	0.332031
0.410000	-0.205078	0.039062
0.415000	-0.224609	-0.473633
0.420000	0.078125	-0.693359
0.425000	0.527344	-0.478516
0.430000	0.844727	-0.083008
0.435000	0.888672	0.297852
0.440000	0.693359	0.541992
0.445000	0.327148	0.625000
0.450000	-0.092773	0.537109
0.455000	-0.439453	-0.136719
0.460000	-0.332031	-1.162109
0.465000	0.415039	-1.464844
0.470000	1.376953	-1.054688
0.475000	2.070312	-0.346680
0.480000	2.299805	0.292969
0.485000	2.109375	0.693359
0.490000	1.650391	0.825195
0.495000	1.103516	0.751953
0.500000	0.600586	0.585938
0.505000	0.205078	0.419922
0.510000	-0.083008	0.253906
0.515000	-0.244141	-0.156250
0.520000	-0.141602	-0.625000
0.525000	0.253906	-0.644531
0.530000	0.673828	-0.332031
0.535000	0.893555	0.073242
