# Time_s	x	xdot
0.000000	1.308594	0.405273
0.005000	1.044922	0.712891
0.010000	0.566406	0.800781
0.015000	0.034180	0.688477
0.020000	-0.415039	0.048828
0.025000	-0.434570	-1.186523
0.030000	0.336914	-1.787109
0.035000	1.503906	-1.445312
0.040000	2.456055	-0.615234
0.045000	2.861328	0.258789
0.050000	2.695312	0.859375
0.055000	2.128906	1.083984
0.060000	1.411133	0.986328
0.065000	0.756836	0.712891
0.070000	0.273438	0.419922
0.075000	-0.009766	0.205078
0.080000	-0.146484	-0.068359
0.085000	-0.102539	-0.366211
0.090000	0.122070	-0.366211
0.095000	0.361328	-0.126953
0.100000	0.439453	0.200195
0.105000	0.302734	0.463867
0.110000	-0.014648	0.585938
0.115000	-0.395508	0.136719
0.120000	-0.463867	-1.000977
0.125000	0.195312	-1.689453
0.130000	1.293945	-1.450195
0.135000	2.250977	-0.683594
0.140000	2.695312	0.175781
0.145000	2.587891	0.791016
0.150000	2.060547	1.044922
0.155000	1.362305	0.986328
0.160000	0.712891	0.732422
0.165000	0.219727	0.449219
0.170000	-0.087891	0.180664
0.175000	-0.205078	-0.249023
0.180000	-0.048828	-0.595703
0.185000	0.336914	-0.512695
0.190000	0.668945	-0.161133
0.195000	0.771484	0.244141
0.200000	0.605469	0.546875
0.205000	0.229492	0.683594
0.210000	-0.219727	0.502930
0.215000	-0.537109	-0.483398
0.220000	-0.205078	-1.635742
0.225000	0.859375	-1.806641
0.230000	2.045898	-1.181641
0.235000	2.817383	-0.249023
0.240000	2.988281	0.561523
0.245000	2.617188	1.015625
0.250000	1.943359	1.093750
0.255000	1.220703	0.898438
0.260000	0.615234	0.590820
0.265000	0.219727	0.317383
0.270000	-0.009766	0.151367
0.275000	-0.107422	-0.009766
0.280000	-0.102539	-0.209961
0.285000	0.029297	-0.229492
0.290000	0.170898	-0.039062
0.295000	0.190430	0.224609
0.300000	0.043945	0.434570
0.305000	-0.244141	0.317383
0.310000	-0.439453	-0.473633
0.315000	-0.122070	-1.308594
0.320000	0.732422	-1.337891
0.325000	1.606445	-0.786133
0.330000	2.124023	-0.034180
0.335000	2.153320	0.590820
0.340000	1.762695	0.917969
0.345000	1.157227	0.942383
0.350000	0.527344	0.766602
0.355000	0.009766	0.498047
0.360000	-0.317383	-0.087891
0.365000	-0.249023	-0.932617
0.370000	0.346680	-1.191406
0.375000	1.127930	-0.830078
0.380000	1.660156	-0.190430
0.385000	1.791992	0.405273
0.390000	1.518555	0.786133
0.395000	1.005859	0.888672
0.400000	0.410156	0.776367
0.405000	-0.112305	0.498047
0.410000	-0.429688	-0.327148
0.415000	-0.205078	-1.308594
0.420000	0.649414	-1.479492
0.425000	1.616211	-0.966797
0.430000	2.255859	-0.180664
0.435000	2.373047	0.512695
0.440000	2.031250	0.913086
0.445000	1.425781	0.986328
0.450000	0.776367	0.825195
0.455000	0.219727	0.566406
0.460000	-0.166016	0.214844
0.465000	-0.302734	-0.468750
0.470000	0.009766	-0.966797
0.475000	0.634766	-0.854492
0.480000	1.191406	-0.366211
0.485000	1.425781	0.200195
0.490000	1.293945	0.620117
0.495000	0.888672	0.805664
0.500000	0.346680	0.776367
0.505000	-0.175781	0.507812
0.510000	-0.498047	-0.458984
0.515000	-0.185547	-1.542969
0.520000	0.820312	-1.684570
0.525000	1.918945	-1.088867
0.530000	2.636719	-0.205078
0.535000	2.773438	0.561523
0.540000	2.407227	0.991211
0.545000	1.752930	1.054688
0.550000	1.049805	0.864258
0.555000	0.468750	0.576172
0.560000	0.078125	0.317383
0.565000	-0.136719	0.043945
0.570000	-0.166016	-0.351562
0.575000	0.058594	-0.502930
0.580000	0.380859	-0.317383
0.585000	0.585938	0.039062
0.590000	0.551758	0.375977
0.595000	0.297852	0.600586
0.600000	-0.102539	0.590820
0.605000	-0.478516	-0.122070
0.610000	-0.380859	-1.352539
0.615000	0.498047	-1.806641
0.620000	1.674805	-1.362305
0.625000	2.573242	-0.498047
0.630000	2.905273	0.361328
0.635000	2.661133	0.917969
0.640000	2.060547	1.088867
0.645000	1.333008	0.957031
0.650000	0.698242	0.673828
0.655000	0.244141	0.390625
0.660000	-0.019531	0.175781
0.665000	-0.141602	-0.073242
0.670000	-0.092773	-0.336914
0.675000	0.122070	-0.322266
0.680000	0.327148	-0.078125
0.685000	0.375977	0.229492
0.690000	0.224609	0.473633
0.695000	-0.097656	0.537109
0.700000	-0.439453	-0.068359
0.705000	-0.380859	-1.201172
0.710000	0.395508	-1.655273
0.715000	1.479492	-1.264648
0.720000	2.319336	-0.468750
0.725000	2.622070	0.336914
