# Time_s	x	xdot
0.000000	0.249023	-0.312500
0.005000	0.454102	-0.332031
0.010000	0.664062	-0.092773
0.015000	0.722656	0.249023
0.020000	0.556641	0.546875
0.025000	0.185547	0.703125
0.030000	-0.283203	0.463867
0.035000	-0.566406	-0.742188
0.040000	-0.068359	-2.021484
0.045000	1.250000	-2.172852
0.050000	2.670898	-1.357422
0.055000	3.574219	-0.131836
0.060000	3.662109	0.957031
0.065000	3.027344	1.557617
0.070000	2.001953	1.572266
0.075000	0.957031	1.152344
0.080000	0.190430	0.551758
0.085000	-0.180664	-0.126953
0.090000	-0.102539	-0.800781
0.095000	0.410156	-0.932617
0.100000	1.020508	-0.561523
0.105000	1.381836	0.048828
0.110000	1.342773	0.620117
0.115000	0.937500	0.952148
0.120000	0.297852	0.991211
0.125000	-0.356445	0.498047
0.130000	-0.649414	-1.098633
0.135000	0.073242	-2.558594
0.140000	1.743164	-2.617188
0.145000	3.466797	-1.586914
0.150000	4.511719	-0.117188
0.155000	4.589844	1.162109
0.160000	3.823242	1.821289
0.165000	2.626953	1.787109
0.170000	1.445312	1.250000
0.175000	0.615234	0.532227
0.180000	0.253906	-0.058594
0.185000	0.283203	-0.346680
0.190000	0.502930	-0.302734
0.195000	0.693359	-0.024414
0.200000	0.703125	0.322266
0.205000	0.488281	0.600586
0.210000	0.087891	0.712891
0.215000	-0.380859	0.278320
0.220000	-0.546875	-1.083984
0.225000	0.166016	-2.153320
0.230000	1.577148	-2.055664
0.235000	2.929688	-1.113281
0.240000	3.662109	0.126953
0.245000	3.579102	1.137695
0.250000	2.822266	1.611328
0.255000	1.757812	1.508789
0.260000	0.761719	1.025391
0.265000	0.068359	0.419922
0.270000	-0.209961	-0.292969
0.275000	-0.014648	-0.878906
0.280000	0.551758	-0.888672
0.285000	1.132812	-0.434570
0.290000	1.411133	0.185547
0.295000	1.279297	0.712891
0.300000	0.810547	0.986328
0.305000	0.151367	0.957031
0.310000	-0.473633	0.239258
0.315000	-0.605469	-1.503906
0.320000	0.390625	-2.690430
0.325000	2.148438	-2.470703
0.330000	3.764648	-1.274414
0.335000	4.609375	0.200195
0.340000	4.482422	1.362305
0.345000	3.588867	1.865234
0.350000	2.358398	1.699219
0.355000	1.235352	1.093750
0.360000	0.498047	0.385742
0.365000	0.229492	-0.156250
0.370000	0.322266	-0.361328
0.375000	0.556641	-0.253906
0.380000	0.712891	0.048828
0.385000	0.678711	0.390625
0.390000	0.415039	0.634766
0.395000	-0.009766	0.693359
0.400000	-0.463867	0.048828
0.405000	-0.473633	-1.401367
0.410000	0.444336	-2.226562
0.415000	1.899414	-1.904297
0.420000	3.154297	-0.849609
0.425000	3.710938	0.385742
0.430000	3.461914	1.289062
0.435000	2.607422	1.630859
0.440000	1.523438	1.430664
0.445000	0.576172	0.893555
0.450000	-0.024414	0.278320
0.455000	-0.209961	-0.458984
0.460000	0.083008	-0.932617
0.465000	0.688477	-0.815430
0.470000	1.225586	-0.307617
0.475000	1.420898	0.317383
0.480000	1.210938	0.805664
0.485000	0.678711	1.000977
0.490000	0.004883	0.893555
0.495000	-0.571289	-0.078125
0.500000	-0.493164	-1.879883
0.505000	0.737305	-2.753906
0.510000	2.529297	-2.270508
0.515000	4.028320	-0.961914
0.520000	4.663086	0.493164
0.525000	4.345703	1.533203
0.530000	3.334961	1.879883
0.535000	2.089844	1.596680
0.540000	1.030273	0.937500
0.545000	0.400391	0.244141
0.550000	0.219727	-0.229492
0.555000	0.371094	-0.361328
0.560000	0.600586	-0.200195
0.565000	0.732422	0.126953
0.570000	0.639648	0.458984
0.575000	0.327148	0.673828
0.580000	-0.122070	0.639648
