# Time_s	x	xdot	xddot	xdddot	dx
0.000000	0.141602	0.957031	0.932617	-4.365234	1.416016
0.005000	-0.297852	-2.431641	0.903320	3.032227	1.416016
0.010000	4.145508	-1.518555	-2.583008	-0.200195	1.420898
0.015000	4.589844	2.036133	-0.322266	-2.250977	1.416016
0.020000	1.123047	1.284180	1.435547	-0.341797	1.420898
0.025000	0.102539	-0.615234	0.073242	0.659180	1.420898
0.030000	1.079102	-0.068359	-0.795898	-0.463867	1.420898
0.035000	0.551758	0.937500	0.019531	-3.188477	1.420898
0.040000	-0.678711	-1.201172	2.475586	2.788086	1.416016
0.045000	2.958984	-2.485352	-2.285156	0.957031	1.420898
0.050000	5.126953	1.401367	-1.206055	-2.197266	1.420898
0.055000	2.001953	1.860352	1.333008	-0.976562	1.420898
0.060000	0.014648	-0.302734	0.566406	0.668945	1.420898
0.065000	0.864258	-0.405273	-0.776367	-0.117188	1.416016
0.070000	0.883789	0.791016	-0.258789	-0.961914	1.420898
0.075000	-0.566406	0.063477	3.017578	1.152344	1.420898
0.080000	1.596680	-3.012695	-1.459961	2.036133	1.420898
0.085000	5.205078	0.439453	-1.982422	-1.757812	1.420898
0.090000	3.012695	2.216797	0.937500	-1.601562	1.420898
0.095000	0.175781	0.200195	1.020508	0.468750	1.416016
0.100000	0.571289	-0.634766	-0.590820	0.244141	1.420898
0.105000	1.088867	0.532227	-0.527344	-0.878906	1.420898
0.110000	-0.175781	0.791016	1.928711	-3.432617	1.420898
0.115000	0.346680	-2.929688	-0.180664	2.797852	1.420898
0.120000	4.765625	-0.708008	-2.490234	-0.942383	1.420898
0.125000	4.003906	2.250977	0.268555	-2.075195	1.420898
0.130000	0.620117	0.830078	1.342773	0.053711	1.416016
0.135000	0.263672	-0.698242	-0.244141	0.537109	1.420898
0.140000	1.142578	0.190430	-0.722656	-0.668945	1.420898
0.145000	0.263672	0.966797	0.581055	-4.272461	1.420898
0.150000	-0.473633	-2.138672	1.357422	3.027344	1.420898
0.155000	3.833008	-1.826172	-2.553711	0.131836	1.420898
0.160000	4.785156	1.894531	-0.576172	-2.270508	1.420898
0.165000	1.347656	1.464844	1.435547	-0.522461	1.420898
0.170000	0.053711	-0.546875	0.214844	0.683594	1.420898
0.175000	1.030273	-0.170898	-0.805664	-0.366211	1.420898
0.180000	0.659180	0.903320	-0.063477	-2.539062	1.420898
0.185000	-0.688477	-0.800781	2.856445	2.578125	1.420898
0.190000	2.573242	-2.685547	-2.109375	1.284180	1.420898
0.195000	5.200195	1.157227	-1.445312	-2.114258	1.420898
0.200000	2.290039	1.992188	1.250000	-1.162109	1.420898
0.205000	0.029297	-0.175781	0.703125	0.639648	1.420898
0.210000	0.786133	-0.488281	-0.737305	-0.009766	1.416016
0.215000	0.957031	0.727539	-0.341797	-0.952148	1.420898
0.220000	-0.463867	0.341797	2.812500	-0.541992	1.420898
0.225000	1.220703	-3.061523	-1.137695	2.299805	1.420898
0.230000	5.126953	0.122070	-2.163086	-1.557617	1.416016
0.235000	3.310547	2.265625	0.771484	-1.757812	1.416016
0.240000	0.273438	0.371094	1.132812	0.375977	1.420898
0.245000	0.478516	-0.673828	-0.507812	0.332031	1.420898
0.250000	1.123047	0.439453	-0.595703	-0.830078	1.420898
0.255000	-0.043945	0.888672	1.513672	-4.033203	1.420898
0.260000	0.053711	-2.773438	0.249023	2.929688	1.420898
0.265000	4.541016	-1.044922	-2.553711	-0.649414	1.416016
0.270000	4.252930	2.187500	0.029297	-2.167969	1.420898
0.275000	0.805664	1.020508	1.391602	-0.097656	1.420898
0.280000	0.190430	-0.673828	-0.117188	0.595703	1.420898
0.285000	1.123047	0.083008	-0.761719	-0.600586	1.420898
