--Free Induction Decay--
Form of Fit: y=a*exp(-x/b)+c
a= -0.006711
b= -26.451682
c= 0.000000

Raw Data:
Time (ms)	Amplitude (V)
15.560	2.348
15.600	2.348
15.640	2.348
15.680	2.348
15.720	2.348
15.760	2.348
15.800	2.268
15.840	2.188
15.880	2.188
15.920	2.108
15.960	2.108
16.000	2.108
16.040	2.108
16.080	2.028
16.120	2.028
16.160	1.948
16.200	1.948
16.240	1.948
16.280	1.948
16.320	1.868
16.360	1.788
16.400	1.868
16.440	1.788
16.480	1.788
16.520	1.708
16.560	1.708
16.600	1.708
16.640	1.708
16.680	1.628
16.720	1.628
16.760	1.628
16.800	1.628
16.840	1.548
16.880	1.468
16.920	1.548
16.960	1.548
17.000	1.468
17.040	1.468
17.080	1.388
17.120	1.468
17.160	1.388
17.200	1.308
17.240	1.308
17.280	1.308
17.320	1.228
17.360	1.228
17.400	1.228
17.440	1.228
17.480	1.228
17.520	1.148
17.560	1.148
17.600	1.148
17.640	1.148
17.680	1.068
17.720	1.068
17.760	1.068
17.800	1.068
17.840	0.988
17.880	0.988
17.920	0.988
17.960	0.988
18.000	0.908
18.040	0.988
18.080	0.988
18.120	0.908
18.160	0.988
18.200	0.908
18.240	0.908
18.280	0.828
18.320	0.828
18.360	0.748
18.400	0.748
18.440	0.748
18.480	0.748
18.520	0.748
18.560	0.668
18.600	0.748
18.640	0.668
18.680	0.668
18.720	0.668
18.760	0.668
18.800	0.668
18.840	0.668
18.880	0.668
18.920	0.588
18.960	0.508
19.000	0.588
19.040	0.588
19.080	0.508
19.120	0.508
19.160	0.588
19.200	0.508
19.240	0.508
19.280	0.428
19.320	0.508
19.360	0.428
19.400	0.428
19.440	0.428
19.480	0.428
19.520	0.428
19.560	0.348
19.600	0.348
19.640	0.348
19.680	0.348
19.720	0.348
19.760	0.348
19.800	0.268
19.840	0.348
19.880	0.268
19.920	0.268
19.960	0.268
20.000	0.268
20.040	0.268
20.080	0.188
20.120	0.188
20.160	0.188
20.200	0.188
20.240	0.268
20.280	0.188
20.320	0.188
20.360	0.188
20.400	0.188
20.440	0.108
20.480	0.188
20.520	0.188
20.560	0.108
20.600	0.108
20.640	0.108
20.680	0.108
20.720	0.108
20.760	0.108
20.800	0.108
20.840	0.028
20.880	0.108
20.920	0.028
20.960	0.108
21.000	0.028
21.040	0.028
21.080	0.108
21.120	0.028
21.160	-0.052
21.200	-0.052
21.240	-0.052
21.280	-0.052
21.320	-0.052
21.360	-0.052
21.400	-0.052
21.440	-0.052
21.480	-0.052
21.520	-0.052
21.560	-0.132
21.600	-0.052
21.640	-0.132
21.680	-0.052
21.720	-0.052
21.760	-0.132
21.800	-0.132
21.840	-0.052
21.880	-0.132
21.920	-0.212
21.960	-0.132
22.000	-0.132
22.040	-0.132
22.080	-0.212
22.120	-0.132
22.160	-0.212
22.200	-0.212
22.240	-0.212
22.280	-0.212
22.320	-0.212
22.360	-0.212
22.400	-0.212
22.440	-0.212
22.480	-0.212
22.520	-0.212
22.560	-0.292
22.600	-0.292
22.640	-0.292
22.680	-0.212
22.720	-0.292
22.760	-0.372
22.800	-0.292
22.840	-0.292
22.880	-0.292
22.920	-0.292
22.960	-0.292
23.000	-0.372
23.040	-0.372
23.080	-0.372
23.120	-0.372
23.160	-0.372
23.200	-0.372
23.240	-0.372
23.280	-0.372
23.320	-0.372
23.360	-0.372
23.400	-0.372
23.440	-0.372
23.480	-0.372
23.520	-0.452
23.560	-0.372
23.600	-0.372
23.640	-0.452
23.680	-0.452
23.720	-0.452
23.760	-0.452
23.800	-0.452
23.840	-0.452
23.880	-0.452
23.920	-0.452
23.960	-0.452
24.000	-0.452
24.040	-0.452
24.080	-0.452
24.120	-0.452
24.160	-0.452
24.200	-0.452
24.240	-0.532
24.280	-0.452
24.320	-0.532
24.360	-0.452
24.400	-0.532
24.440	-0.532
24.480	-0.532
24.520	-0.532
24.560	-0.452
24.600	-0.452
24.640	-0.452
24.680	-0.532
24.720	-0.532
24.760	-0.452
24.800	-0.532
24.840	-0.452
24.880	-0.532
24.920	-0.532
24.960	-0.532
25.000	-0.532
25.040	-0.532
25.080	-0.532
25.120	-0.532
25.160	-0.532
25.200	-0.532
25.240	-0.532
25.280	-0.532
25.320	-0.532
25.360	-0.612
25.400	-0.612
25.440	-0.612
25.480	-0.612
25.520	-0.532
25.560	-0.612
25.600	-0.532
25.640	-0.612
25.680	-0.612
25.720	-0.612
25.760	-0.612
25.800	-0.532
25.840	-0.612
25.880	-0.612
25.920	-0.612
25.960	-0.612
26.000	-0.612
26.040	-0.612
26.080	-0.612
26.120	-0.692
26.160	-0.532
26.200	-0.612
26.240	-0.612
26.280	-0.612
26.320	-0.612
26.360	-0.692
26.400	-0.692
26.440	-0.612
26.480	-0.612
26.520	-0.612
26.560	-0.612
26.600	-0.692
26.640	-0.692
26.680	-0.612
26.720	-0.612
26.760	-0.692
26.800	-0.692
26.840	-0.692
26.880	-0.692
26.920	-0.612
26.960	-0.692
27.000	-0.692
27.040	-0.692
27.080	-0.692
27.120	-0.612
27.160	-0.692
27.200	-0.612
27.240	-0.692
27.280	-0.692
27.320	-0.692
27.360	-0.772
27.400	-0.692
27.440	-0.692
27.480	-0.692
27.520	-0.772
27.560	-0.772
27.600	-0.612
27.640	-0.692
27.680	-0.772
27.720	-0.692
27.760	-0.692
27.800	-0.692
27.840	-0.692
27.880	-0.692
27.920	-0.692
27.960	-0.692
28.000	-0.692
28.040	-0.692
28.080	-0.692
28.120	-0.692
28.160	-0.772
28.200	-0.692
28.240	-0.772
28.280	-0.692
28.320	-0.772
28.360	-0.692
28.400	-0.692
28.440	-0.692
28.480	-0.692
28.520	-0.772
28.560	-0.692
28.600	-0.772
28.640	-0.772
28.680	-0.692
28.720	-0.692
28.760	-0.692
28.800	-0.692
28.840	-0.692
28.880	-0.772
28.920	-0.772
28.960	-0.692
29.000	-0.772
29.040	-0.772
29.080	-0.692
29.120	-0.772
29.160	-0.772
29.200	-0.772
29.240	-0.772
29.280	-0.772
29.320	-0.772
29.360	-0.692
29.400	-0.692
29.440	-0.772
29.480	-0.772
29.520	-0.772
29.560	-0.772
29.600	-0.692
29.640	-0.772
29.680	-0.692
29.720	-0.772
29.760	-0.772
29.800	-0.772
29.840	-0.692
29.880	-0.692
29.920	-0.772
29.960	-0.772
30.000	-0.772
30.040	-0.692
30.080	-0.772
30.120	-0.692
30.160	-0.772
30.200	-0.692
30.240	-0.692
30.280	-0.772
30.320	-0.692
30.360	-0.772
30.400	-0.692
30.440	-0.772
30.480	-0.772
30.520	-0.772
30.560	-0.772
30.600	-0.692
30.640	-0.772
30.680	-0.772
30.720	-0.692
30.760	-0.772
30.800	-0.772
30.840	-0.772
30.880	-0.772
30.920	-0.772
30.960	-0.772
31.000	-0.772
31.040	-0.772
31.080	-0.692
31.120	-0.772
31.160	-0.772
31.200	-0.772
31.240	-0.772
31.280	-0.692
31.320	-0.772
31.360	-0.772
31.400	-0.772
31.440	-0.692
31.480	-0.772
31.520	-0.772
31.560	-0.772
31.600	-0.772
31.640	-0.772
31.680	-0.772
31.720	-0.772
31.760	-0.692
31.800	-0.772
31.840	-0.692
31.880	-0.692
31.920	-0.772
31.960	-0.692
32.000	-0.772
32.040	-0.692
32.080	-0.692
32.120	-0.772
32.160	-0.692
32.200	-0.692
32.240	-0.692
32.280	-0.692
32.320	-0.772
32.360	-0.772
32.400	-0.772
32.440	-0.772
32.480	-0.772
32.520	-0.772
32.560	-0.772
32.600	-0.772
32.640	-0.772
32.680	-0.772
32.720	-0.772
32.760	-0.692
32.800	-0.772
32.840	-0.772
32.880	-0.772
32.920	-0.692
32.960	-0.692
33.000	-0.692
33.040	-0.692
33.080	-0.772
33.120	-0.772
33.160	-0.772
33.200	-0.772
33.240	-0.692
33.280	-0.692
33.320	-0.692
33.360	-0.692
33.400	-0.772
33.440	-0.692
33.480	-0.692
33.520	-0.692
33.560	-0.692
33.600	-0.692
33.640	-0.692
33.680	-0.692
33.720	-0.692
33.760	-0.692
33.800	-0.692
33.840	-0.772
33.880	-0.692
33.920	-0.692
33.960	-0.692
34.000	-0.772
34.040	-0.692
34.080	-0.692
34.120	-0.692
34.160	-0.612
34.200	-0.692
34.240	-0.692
34.280	-0.692
34.320	-0.692
34.360	-0.692
34.400	-0.692
34.440	-0.692
34.480	-0.692
34.520	-0.612
34.560	-0.692
34.600	-0.692
34.640	-0.692
34.680	-0.692
34.720	-0.692
34.760	-0.692
34.800	-0.692
34.840	-0.692
34.880	-0.692
34.920	-0.692
34.960	-0.692
35.000	-0.692
35.040	-0.692
35.080	-0.692
35.120	-0.612
35.160	-0.692
35.200	-0.692
35.240	-0.612
35.280	-0.612
35.320	-0.612
35.360	-0.612
35.400	-0.612
35.440	-0.612
35.480	-0.692
35.520	-0.612
35.560	-0.692
35.600	-0.692
35.640	-0.692
35.680	-0.612
35.720	-0.692
35.760	-0.692
35.800	-0.612
35.840	-0.612
35.880	-0.612
35.920	-0.692
35.960	-0.612
36.000	-0.612
36.040	-0.612
36.080	-0.612
36.120	-0.612
36.160	-0.612
36.200	-0.612
36.240	-0.692
36.280	-0.612
36.320	-0.612
36.360	-0.612
36.400	-0.612
36.440	-0.612
36.480	-0.612
36.520	-0.692
36.560	-0.612
36.600	-0.612
36.640	-0.612
36.680	-0.612
36.720	-0.612
36.760	-0.612
36.800	-0.612
36.840	-0.612
36.880	-0.612
36.920	-0.612
36.960	-0.612
37.000	-0.612
37.040	-0.612
37.080	-0.612
37.120	-0.612
37.160	-0.612
37.200	-0.612
37.240	-0.612
37.280	-0.612
37.320	-0.612
37.360	-0.612
37.400	-0.612
37.440	-0.612
37.480	-0.612
37.520	-0.612
37.560	-0.612
37.600	-0.532
37.640	-0.612
37.680	-0.612
37.720	-0.612
37.760	-0.612
37.800	-0.692
37.840	-0.612
37.880	-0.612
37.920	-0.612
37.960	-0.532
38.000	-0.532
38.040	-0.612
38.080	-0.612
38.120	-0.612
38.160	-0.612
38.200	-0.612
38.240	-0.612
38.280	-0.532
38.320	-0.612
38.360	-0.612
38.400	-0.612
38.440	-0.612
38.480	-0.612
38.520	-0.532
38.560	-0.612
38.600	-0.532
38.640	-0.612
38.680	-0.612
38.720	-0.612
38.760	-0.612
38.800	-0.612
38.840	-0.532
38.880	-0.532
38.920	-0.532
38.960	-0.612
39.000	-0.612
39.040	-0.612
39.080	-0.612
39.120	-0.612
39.160	-0.532
39.200	-0.612
39.240	-0.532
39.280	-0.532
39.320	-0.612
39.360	-0.532
39.400	-0.612
39.440	-0.612
39.480	-0.612
39.520	-0.532
39.560	-0.532
39.600	-0.532
39.640	-0.532
39.680	-0.532
39.720	-0.532
39.760	-0.612
39.800	-0.532
39.840	-0.612
39.880	-0.532
39.920	-0.532
39.960	-0.532
40.000	-0.532
40.040	-0.532
40.080	-0.452
40.120	-0.532
40.160	-0.532
40.200	-0.612
40.240	-0.532
40.280	-0.612
40.320	-0.532
40.360	-0.532
40.400	-0.532
40.440	-0.612
40.480	-0.532
40.520	-0.532
40.560	-0.532
40.600	-0.532
40.640	-0.532
40.680	-0.532
40.720	-0.532
40.760	-0.532
40.800	-0.532
40.840	-0.532
40.880	-0.532
40.920	-0.532
40.960	-0.532
41.000	-0.532
41.040	-0.452
41.080	-0.532
41.120	-0.532
41.160	-0.532
41.200	-0.532
41.240	-0.532
41.280	-0.532
41.320	-0.532
41.360	-0.452
41.400	-0.532
41.440	-0.532
41.480	-0.532
41.520	-0.532
41.560	-0.612
41.600	-0.452
41.640	-0.452
41.680	-0.532
41.720	-0.532
41.760	-0.532
41.800	-0.452
41.840	-0.452
41.880	-0.452
41.920	-0.452
41.960	-0.532
42.000	-0.452
42.040	-0.532
42.080	-0.452
42.120	-0.452
42.160	-0.532
42.200	-0.452
42.240	-0.532
42.280	-0.532
42.320	-0.452
42.360	-0.452
42.400	-0.452
42.440	-0.452
42.480	-0.452
42.520	-0.452
42.560	-0.452
42.600	-0.452
42.640	-0.452
42.680	-0.452
42.720	-0.452
42.760	-0.532
42.800	-0.452
42.840	-0.452
42.880	-0.452
42.920	-0.532
42.960	-0.452
43.000	-0.452
43.040	-0.452
43.080	-0.452
43.120	-0.452
43.160	-0.452
43.200	-0.452
43.240	-0.452
43.280	-0.452
43.320	-0.532
43.360	-0.452
43.400	-0.532
43.440	-0.452
43.480	-0.452
43.520	-0.532
43.560	-0.452
43.600	-0.452
43.640	-0.452
43.680	-0.452
43.720	-0.452
43.760	-0.452
43.800	-0.452
43.840	-0.452
43.880	-0.452
43.920	-0.452
43.960	-0.452
44.000	-0.452
44.040	-0.452
44.080	-0.452
44.120	-0.452
44.160	-0.452
44.200	-0.452
44.240	-0.452
44.280	-0.452
44.320	-0.452
44.360	-0.452
44.400	-0.452
44.440	-0.452
44.480	-0.452
44.520	-0.452
44.560	-0.452
44.600	-0.452
44.640	-0.452
44.680	-0.452
44.720	-0.452
44.760	-0.452
44.800	-0.452
44.840	-0.452
44.880	-0.452
44.920	-0.452
44.960	-0.452
45.000	-0.452
45.040	-0.452
45.080	-0.452
45.120	-0.452
45.160	-0.452
45.200	-0.452
45.240	-0.452
45.280	-0.452
45.320	-0.452
45.360	-0.452
45.400	-0.452
45.440	-0.452
45.480	-0.372
45.520	-0.452
45.560	-0.452
45.600	-0.452
45.640	-0.372
45.680	-0.452
45.720	-0.452
45.760	-0.452
45.800	-0.452
45.840	-0.452
45.880	-0.452
45.920	-0.452
45.960	-0.452
46.000	-0.452
46.040	-0.452
46.080	-0.452
46.120	-0.452
46.160	-0.452
46.200	-0.372
46.240	-0.452
46.280	-0.452
46.320	-0.452
46.360	-0.372
46.400	-0.452
46.440	-0.452
46.480	-0.452
46.520	-0.452
46.560	-0.372
46.600	-0.372
46.640	-0.452
46.680	-0.452
46.720	-0.372
46.760	-0.372
46.800	-0.372
46.840	-0.452
46.880	-0.452
46.920	-0.452
46.960	-0.452
47.000	-0.452
47.040	-0.372
47.080	-0.452
47.120	-0.452
47.160	-0.372
47.200	-0.452
47.240	-0.372
47.280	-0.452
47.320	-0.452
47.360	-0.452
47.400	-0.372
47.440	-0.452
47.480	-0.452
47.520	-0.372
47.560	-0.372
47.600	-0.372
47.640	-0.452
47.680	-0.452
47.720	-0.372
47.760	-0.372
47.800	-0.452
47.840	-0.372
47.880	-0.452
47.920	-0.372
47.960	-0.372
48.000	-0.372
48.040	-0.372
48.080	-0.372
48.120	-0.452
48.160	-0.452
48.200	-0.372
48.240	-0.372
48.280	-0.372
48.320	-0.452
48.360	-0.372
48.400	-0.372
48.440	-0.372
48.480	-0.452
48.520	-0.372
48.560	-0.372
48.600	-0.372
48.640	-0.372
48.680	-0.372
48.720	-0.372
48.760	-0.372
48.800	-0.372
48.840	-0.372
48.880	-0.372
48.920	-0.372
48.960	-0.372
49.000	-0.372
49.040	-0.372
49.080	-0.372
49.120	-0.372
49.160	-0.372
49.200	-0.372
49.240	-0.372
49.280	-0.372
49.320	-0.372
49.360	-0.372
49.400	-0.452
49.440	-0.372
49.480	-0.452
49.520	-0.372
49.560	-0.372
49.600	-0.372
49.640	-0.372
49.680	-0.372
49.720	-0.372
49.760	-0.372
49.800	-0.372
49.840	-0.372
49.880	-0.372
49.920	-0.372
49.960	-0.292
50.000	-0.292
50.040	-0.372
50.080	-0.372
50.120	-0.292
50.160	-0.372
50.200	-0.292
50.240	-0.372
50.280	-0.372
50.320	-0.372
50.360	-0.372
50.400	-0.292
50.440	-0.372
50.480	-0.292
50.520	-0.372
50.560	-0.372
50.600	-0.372
50.640	-0.372
50.680	-0.452
50.720	-0.372
50.760	-0.372
50.800	-0.292
50.840	-0.372
50.880	-0.372
50.920	-0.372
50.960	-0.372
51.000	-0.292
51.040	-0.292
51.080	-0.372
51.120	-0.372
51.160	-0.292
51.200	-0.292
51.240	-0.372
51.280	-0.372
51.320	-0.372
51.360	-0.372
51.400	-0.372
51.440	-0.372
51.480	-0.372
51.520	-0.292
51.560	-0.372
51.600	-0.292
51.640	-0.292
51.680	-0.452
51.720	-0.292
51.760	-0.292
51.800	-0.372
51.840	-0.372
51.880	-0.372
51.920	-0.292
51.960	-0.372
52.000	-0.292
52.040	-0.292
52.080	-0.372
52.120	-0.292
52.160	-0.292
52.200	-0.372
52.240	-0.292
52.280	-0.292
52.320	-0.292
52.360	-0.372
52.400	-0.292
52.440	-0.292
52.480	-0.292
52.520	-0.292
52.560	-0.292
52.600	-0.292
52.640	-0.372
52.680	-0.292
52.720	-0.292
52.760	-0.292
52.800	-0.292
52.840	-0.372
52.880	-0.292
52.920	-0.292
52.960	-0.292
53.000	-0.292
53.040	-0.372
53.080	-0.212
53.120	-0.292
53.160	-0.292
53.200	-0.292
53.240	-0.292
53.280	-0.372
53.320	-0.372
53.360	-0.292
53.400	-0.292
53.440	-0.292
53.480	-0.292
53.520	-0.372
53.560	-0.372
53.600	-0.292
53.640	-0.292
53.680	-0.292
53.720	-0.292
53.760	-0.292
53.800	-0.372
53.840	-0.212
53.880	-0.292
53.920	-0.292
53.960	-0.292
54.000	-0.292
54.040	-0.292
54.080	-0.292
54.120	-0.292
54.160	-0.292
54.200	-0.292
54.240	-0.292
54.280	-0.292
54.320	-0.292
54.360	-0.292
54.400	-0.292
54.440	-0.292
54.480	-0.212
54.520	-0.292
54.560	-0.292
54.600	-0.212
54.640	-0.292
54.680	-0.292
54.720	-0.292
54.760	-0.292
54.800	-0.212
54.840	-0.212
54.880	-0.292
54.920	-0.292
54.960	-0.292
55.000	-0.292
55.040	-0.292
55.080	-0.292
55.120	-0.292
55.160	-0.212
55.200	-0.292
55.240	-0.212
55.280	-0.372
55.320	-0.292
55.360	-0.292
55.400	-0.292
55.440	-0.212
55.480	-0.212
55.520	-0.212
55.560	-0.292
55.600	-0.292
55.640	-0.292
55.680	-0.292
55.720	-0.292
55.760	-0.212
55.800	-0.292
55.840	-0.212
55.880	-0.292
55.920	-0.292
55.960	-0.292
56.000	-0.292
56.040	-0.292
56.080	-0.292
56.120	-0.292
56.160	-0.292
56.200	-0.212
56.240	-0.292
56.280	-0.212
56.320	-0.292
56.360	-0.212
56.400	-0.212
56.440	-0.292
56.480	-0.212
56.520	-0.212
56.560	-0.292
56.600	-0.212
56.640	-0.212
56.680	-0.292
56.720	-0.212
56.760	-0.292
56.800	-0.212
56.840	-0.212
56.880	-0.212
56.920	-0.292
56.960	-0.292
57.000	-0.292
57.040	-0.292
57.080	-0.292
57.120	-0.292
57.160	-0.212
57.200	-0.212
57.240	-0.212
57.280	-0.212
57.320	-0.212
57.360	-0.212
57.400	-0.292
57.440	-0.212
57.480	-0.212
57.520	-0.212
57.560	-0.212
57.600	-0.212
57.640	-0.212
57.680	-0.212
57.720	-0.292
57.760	-0.212
57.800	-0.212
57.840	-0.292
57.880	-0.212
57.920	-0.212
57.960	-0.212
58.000	-0.292
58.040	-0.212
58.080	-0.212
58.120	-0.212
58.160	-0.212
58.200	-0.212
58.240	-0.212
58.280	-0.212
58.320	-0.212
58.360	-0.212
58.400	-0.212
58.440	-0.212
58.480	-0.212
58.520	-0.212
58.560	-0.212
58.600	-0.212
58.640	-0.212
58.680	-0.212
58.720	-0.212
58.760	-0.212
58.800	-0.212
58.840	-0.212
58.880	-0.212
58.920	-0.212
58.960	-0.212
59.000	-0.212
59.040	-0.292
59.080	-0.292
59.120	-0.212
59.160	-0.212
59.200	-0.212
59.240	-0.212
59.280	-0.212
59.320	-0.212
59.360	-0.212
59.400	-0.212
59.440	-0.292
59.480	-0.212
59.520	-0.212
59.560	-0.212
59.600	-0.212
59.640	-0.212
59.680	-0.132
59.720	-0.292
59.760	-0.212
59.800	-0.212
59.840	-0.212
59.880	-0.212
59.920	-0.212
59.960	-0.212
60.000	-0.212
60.040	-0.292
60.080	-0.212
60.120	-0.212
60.160	-0.212
60.200	-0.212
60.240	-0.212
60.280	-0.212
60.320	-0.212
60.360	-0.212
60.400	-0.212
60.440	-0.212
60.480	-0.212
60.520	-0.132
60.560	-0.212
60.600	-0.212
60.640	-0.212
60.680	-0.212
60.720	-0.212
60.760	-0.212
60.800	-0.212
60.840	-0.212
60.880	-0.212
60.920	-0.212
60.960	-0.212
61.000	-0.212
61.040	-0.212
61.080	-0.212
61.120	-0.212
61.160	-0.212
61.200	-0.212
61.240	-0.212
61.280	-0.212
61.320	-0.212
61.360	-0.212
61.400	-0.212
61.440	-0.212
61.480	-0.212
61.520	-0.132
61.560	-0.212
61.600	-0.212
61.640	-0.212
61.680	-0.212
61.720	-0.212
61.760	-0.212
61.800	-0.132
61.840	-0.212
61.880	-0.212
61.920	-0.212
61.960	-0.212
62.000	-0.212
62.040	-0.212
62.080	-0.212
62.120	-0.212
62.160	-0.212
62.200	-0.212
62.240	-0.212
62.280	-0.132
62.320	-0.212
62.360	-0.212
62.400	-0.212
62.440	-0.132
62.480	-0.212
62.520	-0.212
62.560	-0.212
62.600	-0.132
62.640	-0.132
62.680	-0.212
62.720	-0.132
62.760	-0.212
