--Free Induction Decay--
Form of Fit: y=a*exp(-x/b)+c
a= 59.750435
T2*= 4.266420
c= 0.000000

Raw Data:
Time (ms)	Amplitude (V)
14.440	0.039
14.480	0.007
14.520	0.023
14.560	0.031
14.600	-0.041
14.640	0.015
14.680	-0.001
14.720	0.015
14.760	0.007
14.800	0.015
14.840	-0.001
14.880	-0.017
14.920	-0.041
14.960	0.023
15.000	-0.017
15.040	-0.017
15.080	-0.017
15.120	0.015
15.160	-0.033
15.200	0.023
15.240	0.031
15.280	0.015
15.320	0.031
15.360	-0.025
15.400	0.007
15.440	-0.017
15.480	-0.001
15.520	0.031
15.560	-0.001
15.600	0.007
15.640	-0.001
15.680	-0.001
15.720	-0.009
15.760	0.007
15.800	-0.009
15.840	-0.033
15.880	0.015
15.920	-0.009
15.960	0.023
16.000	0.015
16.040	-0.017
16.080	-0.009
16.120	-0.025
16.160	-0.009
16.200	0.015
16.240	-0.001
16.280	0.015
16.320	0.015
16.360	-0.041
16.400	-0.001
16.440	0.015
16.480	0.015
16.520	0.007
16.560	-0.025
16.600	-0.009
16.640	-0.009
16.680	-0.009
16.720	0.007
16.760	0.007
16.800	-0.017
16.840	-0.009
16.880	-0.017
16.920	0.015
16.960	-0.009
17.000	0.007
17.040	-0.025
17.080	-0.025
17.120	-0.025
17.160	-0.009
17.200	0.007
17.240	0.031
17.280	0.023
17.320	0.015
17.360	0.015
17.400	0.015
17.440	-0.001
17.480	-0.017
17.520	-0.001
17.560	0.015
17.600	-0.001
17.640	-0.017
17.680	-0.017
17.720	-0.017
17.760	-0.001
17.800	-0.001
17.840	-0.025
17.880	0.007
17.920	0.031
17.960	-0.001
18.000	-0.001
18.040	-0.009
18.080	-0.009
18.120	-0.001
18.160	-0.017
18.200	-0.009
18.240	-0.017
18.280	-0.025
18.320	-0.025
18.360	0.015
18.400	0.023
18.440	-0.001
18.480	-0.009
18.520	-0.017
18.560	-0.017
18.600	-0.001
18.640	0.023
18.680	-0.017
18.720	-0.001
18.760	0.031
18.800	0.015
18.840	-0.017
18.880	0.023
18.920	-0.009
18.960	-0.009
19.000	0.015
19.040	0.015
19.080	-0.017
19.120	-0.009
19.160	0.015
19.200	0.015
19.240	-0.017
19.280	-0.033
19.320	0.015
19.360	-0.009
19.400	-0.001
19.440	0.015
19.480	0.023
19.520	-0.017
19.560	0.007
19.600	-0.033
19.640	-0.009
19.680	-0.041
19.720	-0.041
19.760	-0.025
19.800	0.007
19.840	-0.001
19.880	0.007
19.920	0.023
19.960	-0.001
20.000	-0.033
20.040	-0.017
20.080	0.015
20.120	0.015
20.160	-0.009
20.200	0.007
20.240	-0.001
20.280	-0.009
20.320	-0.017
20.360	-0.025
20.400	-0.025
20.440	-0.009
20.480	-0.001
20.520	-0.017
20.560	0.007
20.600	0.031
20.640	0.015
20.680	-0.001
20.720	-0.025
20.760	0.015
20.800	-0.025
20.840	-0.025
20.880	0.015
20.920	-0.017
20.960	0.007
21.000	-0.009
21.040	-0.017
21.080	-0.017
21.120	0.007
21.160	-0.049
21.200	-0.009
21.240	0.015
21.280	-0.009
21.320	-0.001
21.360	-0.001
21.400	-0.001
21.440	-0.009
21.480	0.015
21.520	0.007
21.560	-0.001
21.600	-0.001
21.640	0.007
21.680	-0.001
21.720	-0.033
21.760	0.015
21.800	-0.009
21.840	-0.009
21.880	0.007
21.920	-0.033
21.960	0.007
22.000	-0.017
22.040	-0.001
22.080	-0.001
22.120	0.031
22.160	0.007
22.200	0.031
22.240	-0.017
22.280	0.023
22.320	-0.001
22.360	-0.009
22.400	-0.017
22.440	0.007
22.480	0.039
22.520	-0.017
22.560	-0.025
22.600	0.007
22.640	-0.001
22.680	-0.001
22.720	-0.017
22.760	-0.025
22.800	-0.009
22.840	-0.017
22.880	0.015
22.920	0.007
22.960	-0.001
23.000	0.015
23.040	0.031
23.080	-0.017
23.120	0.031
23.160	-0.017
23.200	0.007
23.240	0.007
23.280	-0.017
23.320	0.015
23.360	-0.001
23.400	-0.017
23.440	-0.009
23.480	0.007
23.520	-0.001
23.560	-0.025
23.600	-0.017
23.640	-0.025
23.680	-0.009
23.720	-0.017
23.760	0.031
23.800	-0.025
23.840	0.015
23.880	0.007
23.920	-0.009
23.960	-0.009
24.000	0.031
24.040	-0.009
24.080	-0.017
24.120	0.007
24.160	-0.001
24.200	0.031
24.240	0.023
24.280	-0.033
24.320	-0.009
24.360	-0.017
24.400	-0.017
24.440	0.039
24.480	-0.033
24.520	-0.017
24.560	0.007
24.600	-0.009
24.640	0.015
24.680	-0.025
24.720	0.015
24.760	-0.001
24.800	0.015
24.840	0.007
24.880	-0.033
24.920	-0.001
24.960	-0.001
25.000	-0.025
25.040	-0.025
25.080	-0.001
25.120	-0.017
25.160	-0.001
25.200	-0.025
25.240	0.015
25.280	0.015
25.320	0.007
25.360	-0.017
25.400	-0.001
25.440	-0.017
25.480	-0.009
25.520	-0.017
25.560	-0.017
25.600	0.007
25.640	0.015
25.680	0.007
25.720	0.007
25.760	-0.009
25.800	0.015
25.840	-0.001
25.880	-0.017
25.920	-0.017
25.960	-0.033
26.000	-0.025
26.040	-0.001
26.080	0.039
26.120	0.015
26.160	0.015
26.200	-0.001
26.240	0.015
26.280	0.015
26.320	-0.017
26.360	-0.009
26.400	-0.009
26.440	-0.025
26.480	-0.025
26.520	-0.001
26.560	-0.033
26.600	-0.017
26.640	0.015
26.680	0.007
26.720	0.007
26.760	-0.017
26.800	0.007
26.840	0.031
26.880	0.015
26.920	-0.001
26.960	0.023
27.000	-0.001
27.040	-0.017
27.080	0.007
27.120	-0.001
27.160	0.023
27.200	0.015
27.240	0.015
27.280	0.031
27.320	-0.001
27.360	-0.033
27.400	-0.001
27.440	-0.001
27.480	0.015
27.520	-0.009
27.560	-0.009
27.600	-0.009
27.640	-0.017
27.680	-0.009
27.720	-0.025
27.760	0.007
27.800	-0.001
27.840	0.015
27.880	-0.009
27.920	-0.001
27.960	-0.001
28.000	0.015
28.040	-0.017
28.080	0.015
28.120	-0.001
28.160	-0.017
28.200	-0.001
28.240	-0.001
28.280	-0.001
28.320	-0.001
28.360	0.007
28.400	0.047
28.440	-0.001
28.480	-0.025
28.520	-0.033
28.560	-0.001
28.600	-0.025
28.640	-0.001
28.680	0.007
28.720	-0.009
28.760	-0.017
28.800	-0.017
28.840	0.007
28.880	-0.001
28.920	0.015
28.960	-0.017
29.000	-0.009
29.040	0.007
29.080	0.015
29.120	0.031
29.160	-0.017
29.200	0.015
29.240	-0.001
29.280	-0.009
29.320	0.007
29.360	-0.033
29.400	-0.017
29.440	0.007
29.480	0.039
29.520	-0.025
29.560	-0.001
29.600	-0.009
29.640	-0.017
29.680	0.023
29.720	-0.017
29.760	-0.001
29.800	0.015
29.840	-0.009
29.880	-0.009
29.920	-0.033
29.960	0.039
30.000	-0.017
30.040	-0.025
30.080	0.007
30.120	-0.001
30.160	0.007
30.200	-0.001
30.240	-0.001
30.280	0.007
30.320	0.007
30.360	0.007
30.400	0.007
30.440	0.007
30.480	-0.025
30.520	-0.017
30.560	-0.009
30.600	-0.009
30.640	0.047
30.680	-0.017
30.720	-0.001
30.760	-0.017
30.800	-0.001
30.840	0.015
30.880	-0.009
30.920	-0.001
30.960	-0.009
31.000	0.023
31.040	0.023
31.080	-0.009
31.120	-0.017
31.160	-0.001
31.200	-0.017
31.240	-0.033
31.280	-0.033
31.320	0.007
31.360	-0.001
31.400	0.015
31.440	0.023
31.480	-0.009
31.520	0.039
31.560	-0.033
31.600	0.007
31.640	-0.009
31.680	-0.001
31.720	0.023
31.760	-0.009
31.800	0.023
31.840	-0.001
31.880	-0.017
31.920	-0.009
31.960	-0.001
32.000	-0.001
32.040	-0.017
32.080	0.023
32.120	-0.025
32.160	0.015
32.200	-0.001
32.240	-0.001
32.280	-0.009
32.320	-0.001
32.360	-0.001
32.400	-0.001
32.440	-0.009
32.480	0.031
32.520	0.055
32.560	0.023
32.600	-0.001
32.640	-0.001
32.680	0.031
32.720	0.031
32.760	-0.009
32.800	0.031
32.840	0.023
32.880	-0.017
32.920	0.023
32.960	-0.017
33.000	-0.009
33.040	-0.001
33.080	0.007
33.120	-0.001
33.160	0.031
33.200	-0.033
33.240	-0.025
33.280	-0.033
33.320	-0.001
33.360	-0.001
33.400	-0.009
33.440	-0.009
33.480	-0.017
33.520	0.015
33.560	0.015
33.600	0.015
33.640	0.039
33.680	-0.009
33.720	-0.001
33.760	-0.017
33.800	-0.001
33.840	-0.017
33.880	0.023
33.920	-0.001
33.960	-0.017
34.000	-0.001
34.040	0.015
34.080	-0.033
34.120	-0.017
34.160	0.015
34.200	-0.009
34.240	-0.017
34.280	0.007
34.320	0.047
34.360	0.023
34.400	0.015
34.440	0.007
34.480	-0.017
34.520	-0.017
34.560	-0.017
34.600	0.023
34.640	0.023
34.680	-0.017
34.720	-0.017
34.760	-0.001
34.800	-0.001
34.840	0.007
34.880	-0.009
34.920	-0.033
34.960	-0.017
35.000	-0.017
35.040	-0.009
35.080	-0.001
35.120	-0.001
35.160	-0.017
35.200	-0.017
35.240	-0.001
35.280	0.015
35.320	-0.001
35.360	-0.001
35.400	-0.025
35.440	-0.001
35.480	-0.017
35.520	-0.009
35.560	0.031
35.600	-0.001
35.640	0.023
35.680	0.007
35.720	-0.001
35.760	-0.025
35.800	0.015
35.840	0.007
35.880	0.023
35.920	0.007
35.960	-0.017
36.000	-0.009
36.040	-0.001
36.080	0.007
36.120	-0.025
36.160	0.007
36.200	-0.001
36.240	-0.001
36.280	-0.001
36.320	-0.017
36.360	-0.025
36.400	0.007
36.440	-0.017
36.480	-0.009
36.520	-0.017
36.560	-0.041
36.600	-0.001
36.640	-0.025
36.680	0.007
36.720	-0.009
36.760	0.007
36.800	-0.017
36.840	0.023
36.880	-0.001
36.920	0.007
36.960	-0.033
37.000	-0.017
37.040	-0.017
37.080	0.031
37.120	-0.025
37.160	-0.017
37.200	-0.009
37.240	-0.009
37.280	-0.001
37.320	-0.009
37.360	-0.017
37.400	-0.001
37.440	0.039
37.480	0.007
37.520	-0.001
37.560	-0.017
37.600	0.031
37.640	-0.001
37.680	-0.017
37.720	0.023
37.760	-0.001
37.800	0.015
37.840	0.031
37.880	-0.001
37.920	-0.009
37.960	-0.025
38.000	-0.001
38.040	-0.025
38.080	-0.001
38.120	-0.017
38.160	0.007
38.200	-0.009
38.240	-0.001
38.280	-0.001
38.320	-0.025
38.360	0.007
38.400	0.007
38.440	0.007
38.480	0.015
38.520	-0.001
38.560	0.015
38.600	-0.001
38.640	0.015
38.680	-0.033
38.720	-0.009
38.760	-0.001
38.800	-0.033
38.840	-0.033
38.880	-0.017
38.920	-0.001
38.960	-0.017
39.000	0.031
39.040	-0.017
39.080	-0.017
39.120	-0.033
39.160	-0.009
39.200	-0.009
39.240	0.015
39.280	-0.017
39.320	0.007
39.360	0.015
39.400	0.063
39.440	0.015
39.480	-0.009
39.520	-0.001
39.560	-0.001
39.600	-0.001
39.640	-0.025
39.680	-0.001
39.720	-0.017
39.760	-0.001
39.800	0.023
39.840	0.007
39.880	-0.009
39.920	-0.009
39.960	0.007
40.000	-0.001
40.040	-0.025
40.080	0.015
40.120	-0.009
40.160	-0.025
40.200	-0.001
40.240	0.015
40.280	-0.009
40.320	-0.017
40.360	-0.001
40.400	0.023
40.440	-0.033
40.480	-0.001
40.520	-0.001
40.560	-0.009
40.600	0.007
40.640	0.015
40.680	-0.025
40.720	-0.033
40.760	-0.001
40.800	-0.001
40.840	-0.009
40.880	0.031
40.920	0.007
40.960	-0.001
41.000	-0.017
41.040	-0.041
41.080	-0.009
41.120	0.007
41.160	-0.009
41.200	-0.025
41.240	-0.017
41.280	-0.009
41.320	-0.001
41.360	-0.017
41.400	-0.025
41.440	-0.001
41.480	-0.017
41.520	-0.001
41.560	0.007
41.600	-0.017
41.640	0.015
41.680	0.015
41.720	-0.009
41.760	-0.017
41.800	-0.009
41.840	0.023
41.880	0.007
41.920	-0.017
41.960	-0.001
42.000	-0.001
42.040	0.007
42.080	0.007
42.120	0.007
42.160	0.007
42.200	-0.009
42.240	-0.017
42.280	-0.001
42.320	-0.033
42.360	-0.057
42.400	0.007
42.440	-0.033
42.480	0.007
42.520	-0.049
42.560	-0.009
42.600	-0.025
42.640	-0.009
42.680	-0.001
42.720	-0.009
42.760	-0.009
42.800	-0.017
42.840	0.031
42.880	-0.009
42.920	0.023
42.960	0.015
43.000	0.007
43.040	-0.001
43.080	-0.025
43.120	-0.033
43.160	-0.025
43.200	0.015
43.240	-0.025
43.280	-0.009
43.320	-0.017
43.360	-0.009
43.400	-0.017
43.440	0.007
43.480	-0.017
43.520	-0.009
43.560	-0.017
43.600	-0.017
43.640	-0.001
43.680	0.015
43.720	0.015
43.760	0.007
43.800	-0.033
43.840	-0.017
43.880	-0.009
43.920	-0.001
43.960	-0.025
44.000	0.031
44.040	-0.017
44.080	-0.033
44.120	-0.001
44.160	0.015
44.200	-0.017
44.240	0.023
44.280	0.023
44.320	-0.017
44.360	0.023
44.400	-0.009
44.440	-0.001
44.480	0.015
44.520	-0.009
44.560	0.007
44.600	-0.017
44.640	0.015
44.680	0.007
44.720	0.023
44.760	0.023
44.800	0.015
44.840	0.039
44.880	-0.009
44.920	-0.009
44.960	-0.017
45.000	0.023
45.040	-0.009
45.080	-0.033
45.120	0.015
45.160	0.015
45.200	0.039
45.240	0.007
45.280	-0.001
45.320	-0.017
45.360	-0.001
45.400	0.015
45.440	0.007
45.480	-0.041
45.520	0.007
45.560	0.007
45.600	-0.001
45.640	0.023
45.680	0.007
45.720	-0.017
45.760	-0.001
45.800	0.031
45.840	-0.001
45.880	-0.001
45.920	0.023
45.960	-0.001
46.000	-0.017
46.040	-0.001
46.080	-0.001
46.120	-0.001
46.160	0.023
46.200	-0.025
46.240	-0.001
46.280	-0.017
46.320	-0.001
46.360	0.007
46.400	-0.033
46.440	-0.001
46.480	-0.009
46.520	-0.009
46.560	-0.009
46.600	-0.001
46.640	-0.017
46.680	0.015
46.720	-0.017
46.760	-0.025
46.800	-0.009
46.840	-0.009
46.880	0.007
46.920	0.007
46.960	-0.009
47.000	0.031
47.040	-0.017
47.080	-0.001
47.120	-0.009
47.160	0.007
47.200	0.015
47.240	-0.017
47.280	0.007
47.320	-0.017
47.360	0.015
47.400	-0.009
47.440	0.007
47.480	-0.009
47.520	0.039
47.560	0.007
47.600	0.007
47.640	0.023
47.680	0.015
47.720	0.015
47.760	0.031
47.800	0.023
47.840	0.007
47.880	-0.001
47.920	-0.001
47.960	-0.001
48.000	-0.001
48.040	-0.009
48.080	-0.025
48.120	-0.001
48.160	-0.017
48.200	-0.009
48.240	-0.009
48.280	-0.025
48.320	0.007
48.360	0.031
48.400	0.023
48.440	-0.001
48.480	-0.009
48.520	0.015
48.560	0.007
48.600	0.007
48.640	-0.017
48.680	-0.001
48.720	0.015
48.760	0.023
48.800	-0.017
48.840	0.015
48.880	0.023
48.920	-0.001
48.960	-0.017
49.000	-0.001
49.040	0.023
49.080	0.023
49.120	-0.001
49.160	-0.033
49.200	-0.033
49.240	-0.001
49.280	-0.001
49.320	0.015
49.360	-0.009
49.400	-0.001
49.440	-0.017
49.480	0.007
49.520	-0.001
49.560	-0.009
49.600	-0.009
49.640	-0.009
49.680	0.023
49.720	-0.025
49.760	-0.001
49.800	-0.009
49.840	-0.001
49.880	0.055
49.920	0.007
49.960	0.023
50.000	-0.113
50.040	0.887
50.080	0.903
50.120	0.903
50.160	0.887
50.200	0.887
50.240	0.895
50.280	0.879
50.320	0.887
50.360	0.863
50.400	0.847
50.440	0.871
50.480	0.839
50.520	0.839
50.560	0.839
50.600	0.815
50.640	0.807
50.680	0.807
50.720	0.815
50.760	0.791
50.800	0.791
50.840	0.783
50.880	0.783
50.920	0.759
50.960	0.735
51.000	0.743
51.040	0.751
51.080	0.735
51.120	0.727
51.160	0.727
51.200	0.703
51.240	0.687
51.280	0.687
51.320	0.679
51.360	0.671
51.400	0.647
51.440	0.647
51.480	0.647
51.520	0.655
51.560	0.631
51.600	0.623
51.640	0.631
51.680	0.599
51.720	0.583
51.760	0.607
51.800	0.583
51.840	0.583
51.880	0.559
51.920	0.575
51.960	0.535
52.000	0.543
52.040	0.535
52.080	0.527
52.120	0.527
52.160	0.527
52.200	0.511
52.240	0.519
52.280	0.503
52.320	0.503
52.360	0.495
52.400	0.503
52.440	0.487
52.480	0.479
52.520	0.479
52.560	0.479
52.600	0.463
52.640	0.455
52.680	0.439
52.720	0.431
52.760	0.439
52.800	0.439
52.840	0.423
52.880	0.423
52.920	0.431
52.960	0.415
53.000	0.423
53.040	0.407
53.080	0.407
53.120	0.399
53.160	0.407
53.200	0.375
53.240	0.375
53.280	0.375
53.320	0.359
53.360	0.375
53.400	0.375
53.440	0.375
53.480	0.375
53.520	0.335
53.560	0.351
53.600	0.343
53.640	0.335
53.680	0.343
53.720	0.343
53.760	0.335
53.800	0.335
53.840	0.311
53.880	0.335
53.920	0.327
53.960	0.319
54.000	0.319
54.040	0.303
54.080	0.295
54.120	0.319
54.160	0.319
54.200	0.311
54.240	0.279
54.280	0.287
54.320	0.279
54.360	0.279
54.400	0.295
54.440	0.271
54.480	0.239
54.520	0.303
54.560	0.263
54.600	0.255
54.640	0.247
54.680	0.255
54.720	0.255
54.760	0.247
54.800	0.255
54.840	0.247
54.880	0.239
54.920	0.247
54.960	0.239
55.000	0.239
55.040	0.239
55.080	0.223
55.120	0.215
55.160	0.223
55.200	0.223
55.240	0.207
55.280	0.215
55.320	0.215
55.360	0.231
55.400	0.223
55.440	0.215
55.480	0.183
55.520	0.207
55.560	0.207
55.600	0.215
55.640	0.215
55.680	0.175
55.720	0.191
55.760	0.191
55.800	0.183
55.840	0.175
55.880	0.191
55.920	0.175
55.960	0.159
56.000	0.175
56.040	0.175
56.080	0.183
56.120	0.159
56.160	0.167
56.200	0.167
56.240	0.159
56.280	0.167
56.320	0.151
56.360	0.175
56.400	0.159
56.440	0.159
56.480	0.151
56.520	0.159
56.560	0.151
56.600	0.159
56.640	0.151
56.680	0.143
56.720	0.135
56.760	0.159
56.800	0.159
56.840	0.143
56.880	0.143
56.920	0.135
56.960	0.143
57.000	0.143
57.040	0.151
57.080	0.127
57.120	0.111
57.160	0.135
57.200	0.103
57.240	0.119
57.280	0.143
57.320	0.127
57.360	0.127
57.400	0.127
57.440	0.103
57.480	0.103
57.520	0.119
57.560	0.135
57.600	0.095
57.640	0.111
57.680	0.103
57.720	0.103
57.760	0.095
57.800	0.111
57.840	0.127
57.880	0.119
57.920	0.087
57.960	0.095
58.000	0.095
58.040	0.087
58.080	0.103
58.120	0.071
58.160	0.087
58.200	0.095
58.240	0.079
58.280	0.103
58.320	0.087
58.360	0.087
58.400	0.071
58.440	0.103
58.480	0.087
58.520	0.087
58.560	0.079
58.600	0.055
58.640	0.071
58.680	0.071
58.720	0.079
58.760	0.071
58.800	0.063
58.840	0.063
58.880	0.079
58.920	0.071
58.960	0.063
59.000	0.071
59.040	0.095
59.080	0.063
59.120	0.087
59.160	0.071
59.200	0.063
59.240	0.071
59.280	0.095
59.320	0.095
59.360	0.087
59.400	0.031
59.440	0.079
59.480	0.063
59.520	0.055
59.560	0.063
59.600	0.071
59.640	0.039
59.680	0.055
59.720	0.071
59.760	0.063
59.800	0.063
59.840	0.055
59.880	0.055
59.920	0.055
59.960	0.047
60.000	0.063
60.040	0.039
60.080	0.047
60.120	0.039
60.160	0.071
60.200	0.063
60.240	0.047
60.280	0.055
60.320	0.023
60.360	0.055
60.400	0.031
60.440	0.071
60.480	0.047
60.520	0.055
60.560	0.023
60.600	0.031
60.640	0.015
60.680	0.055
60.720	0.031
60.760	0.031
60.800	0.055
60.840	0.031
60.880	0.071
60.920	0.015
60.960	0.039
61.000	0.031
61.040	0.039
61.080	0.031
61.120	0.039
61.160	0.031
61.200	0.047
61.240	0.007
61.280	0.047
61.320	0.031
61.360	0.031
61.400	0.047
61.440	0.023
61.480	0.063
61.520	0.023
61.560	0.047
61.600	0.031
61.640	0.031
61.680	0.055
61.720	0.015
61.760	0.015
61.800	0.055
61.840	0.023
61.880	0.023
61.920	0.031
61.960	0.031
62.000	0.007
62.040	0.055
62.080	0.031
62.120	0.047
62.160	0.015
62.200	0.023
62.240	0.015
62.280	0.023
62.320	0.015
62.360	0.031
62.400	0.039
62.440	0.031
62.480	-0.001
62.520	0.031
62.560	0.015
62.600	0.023
62.640	0.007
62.680	0.023
62.720	-0.001
62.760	0.023
62.800	-0.001
62.840	0.031
62.880	0.047
62.920	0.023
62.960	0.023
63.000	0.031
63.040	0.031
63.080	0.007
63.120	0.031
63.160	0.063
63.200	0.023
63.240	0.015
63.280	0.031
63.320	0.023
63.360	0.015
63.400	0.015
63.440	0.055
63.480	0.007
63.520	0.015
63.560	0.007
63.600	0.007
63.640	0.007
63.680	0.007
63.720	-0.001
63.760	-0.001
63.800	0.023
63.840	0.023
63.880	-0.009
63.920	0.039
63.960	0.015
64.000	0.023
64.040	0.031
64.080	-0.017
64.120	-0.001
64.160	-0.001
64.200	0.055
64.240	-0.001
64.280	0.015
64.320	-0.017
64.360	0.031
64.400	0.055
64.440	0.007
64.480	0.015
64.520	0.015
64.560	0.047
64.600	0.015
64.640	0.015
64.680	-0.017
64.720	-0.001
64.760	-0.001
64.800	0.007
64.840	0.007
64.880	0.023
64.920	0.039
64.960	-0.009
65.000	0.071
65.040	0.007
65.080	-0.001
