--FID Amplitude--
A_len (us)	FID Amplitude (V)
0.020	0.160
0.520	4.240
1.020	6.960
1.520	8.320
2.020	8.800
2.520	8.800
3.020	8.240
3.520	7.040
4.020	5.360
4.520	2.640
5.020	1.040
5.520	3.840
6.020	6.320
6.520	7.760
7.020	8.560
7.520	8.720
8.020	8.480
8.520	7.600
9.020	5.840
9.520	3.360
10.020	0.640
