NO polarizer: t (s)	NO polarizer: int (a.u.)	YES polarizer: t (s)	YES polarizer: int (a.u.)	
276.619420	12.530407	275.751471	4.860389
276.658055	12.530407	275.789278	4.860389
276.698566	12.522450	275.833127	4.854733
276.739587	12.522450	275.874013	4.854733
276.778082	12.522450	275.913599	4.854733
276.816408	12.538233	275.982736	4.837217
276.862263	12.538233	276.026947	4.837217
276.898479	12.538233	276.068803	4.837217
276.938102	12.538233	276.110034	4.855633
276.982252	12.507530	276.148812	4.855633
277.021169	12.507530	276.188690	4.855633
277.085876	12.535922	276.232787	4.845083
277.128763	12.535922	276.272390	4.845083
277.168265	12.535922	276.346698	4.845083
277.207338	12.535922	276.389170	4.838876
277.250196	12.535729	276.433063	4.838876
277.290030	12.535729	276.475025	4.838876
277.328355	12.535729	276.517737	4.847202
277.375695	12.516246	276.558319	4.847202
277.414544	12.516246	276.596641	4.847202
277.477818	12.516246	276.637845	4.873283
277.522817	12.524256	276.677480	4.873283
277.560145	12.524256	276.717718	4.873283
277.601672	12.524256	276.757646	4.898480
277.645236	12.524876	276.797707	4.898480
277.712782	12.524876	276.837448	4.898480
277.755972	12.535680	276.879202	4.898480
277.794813	12.535680	276.922968	3.352720
277.838337	12.535680	276.987435	3.352720
277.875720	12.535680	277.026597	3.345994
277.926326	12.544587	277.068560	3.345994
277.964366	12.544587	277.108116	3.345994
278.006053	12.544587	277.152609	3.304279
278.047087	12.549105	277.193036	3.304279
278.116384	12.549105	277.266211	3.304279
278.160217	12.555488	277.310981	3.311331
278.200691	12.555488	277.351856	3.311331
278.243014	12.555488	277.395037	3.311331
278.282741	12.555488	277.436699	3.318972
278.349913	12.541016	277.501175	3.318972
278.390603	12.541016	277.543214	3.318972
278.433779	12.578504	277.584340	3.269965
278.475926	12.578504	277.625159	3.269965
278.514010	12.578504	277.663246	3.269965
278.570424	12.580222	277.722800	3.276704
278.614129	12.580222	277.763699	3.276704
278.650347	12.580222	277.801309	3.276704
278.693344	12.575508	277.844003	3.267337
278.734136	12.575508	277.884482	3.267337
278.800785	12.575508	277.921494	3.267337
278.844042	12.572066	277.962921	3.289195
278.881171	12.572066	278.000855	3.289195
278.922960	12.572066	278.042323	3.289195
278.962051	12.591188	278.083745	3.289195
279.002128	12.591188	278.127506	3.287246
279.069237	12.591188	278.169977	3.287246
279.116926	12.630904	278.206759	3.287246
279.153558	12.630904	278.251625	3.367708
279.195930	12.630904	278.296308	3.367708
279.234793	12.609477	278.334164	3.367708
279.273236	12.609477	278.404456	3.394067
279.338473	12.609477	278.445585	3.394067
279.384750	12.609650	278.483024	3.394067
279.422496	12.609650	278.525698	3.445679
279.464884	12.609650	278.566183	3.445679
279.506020	12.628822	278.640875	3.493490
279.555714	12.628822	278.681775	3.493490
279.593735	12.628822	278.722475	3.493490
279.640579	12.649129	278.765848	3.569046
279.677027	12.649129	278.827749	3.569046
279.721255	12.649129	278.866484	3.569046
279.762085	12.658878	278.906128	3.626106
279.811224	12.658878	278.945839	3.626106
279.847333	12.658878	278.983621	3.626106
279.887950	12.655893	279.022404	3.683777
279.958886	12.655893	279.064345	3.683777
279.997230	12.655893	279.102531	3.683777
280.041987	12.681531	279.144838	3.683777
280.084983	12.681531	279.188358	3.744398
280.121992	12.681531	279.227495	3.744398
280.169798	12.675886	279.262848	3.744398
280.206493	12.675886	279.304203	3.819053
280.248652	12.675886	279.349820	3.819053
280.286560	12.694545	279.387999	3.819053
280.332812	12.694545	279.459477	3.892026
280.373162	12.694545	279.501030	3.892026
280.445302	12.691511	279.538556	3.892026
280.489023	12.691511	279.584873	3.967725
280.525484	12.691511	279.628015	3.967725
280.574615	12.671704	279.667139	3.967725
280.615115	12.671704	279.741810	4.037198
280.678291	12.671704	279.780324	4.037198
280.724328	12.698374	279.818576	4.037198
280.760400	12.698374	279.861973	4.104619
280.800530	12.698374	279.902031	4.104619
280.846429	12.683283	279.941456	4.104619
280.889584	12.683283	279.989126	4.177064
280.964103	12.721305	280.026558	4.177064
281.006194	12.721305	280.099785	4.272873
281.042939	12.721305	280.140116	4.272873
281.079932	12.721305	280.181235	4.272873
281.124648	12.728868	280.224222	4.340897
281.163344	12.728868	280.267872	4.340897
281.202827	12.728868	280.306707	4.340897
281.245685	12.687213	280.346370	4.340897
281.286857	12.687213	280.388657	4.393185
281.324903	12.687213	280.428540	4.393185
281.367206	12.693033	280.466552	4.393185
281.406670	12.693033	280.510206	4.463190
281.446720	12.693033	280.548410	4.463190
281.485811	12.690207	280.585545	4.463190
281.527060	12.690207	280.625991	4.547305
281.568556	12.690207	280.669489	4.547305
281.605834	12.690207	280.707242	4.547305
281.649388	12.718009	280.745355	4.547305
281.689000	12.718009	280.787815	4.589446
281.727626	12.718009	280.828641	4.589446
281.771205	12.709225	280.872857	4.589446
281.813294	12.709225	280.914836	4.638047
281.852072	12.709225	280.957135	4.638047
281.895361	12.555548	280.994525	4.638047
281.937432	12.555548	281.036776	4.718429
281.978602	12.555548	281.113341	4.718429
282.016411	12.559763	281.153983	4.800176
282.058602	12.559763	281.199330	4.800176
282.098877	12.559763	281.241238	4.800176
282.138891	12.559763	281.278776	4.800176
282.205256	12.551270	281.323475	4.874021
282.245258	12.551270	281.364967	4.874021
282.283194	12.551270	281.406920	4.874021
282.323435	12.570547	281.452107	4.936185
282.363394	12.570547	281.492823	4.936185
282.401958	12.570547	281.533200	4.936185
282.447325	12.537027	281.574528	4.959710
282.485954	12.537027	281.616055	4.959710
282.528216	12.537027	281.654183	4.959710
282.570076	12.513421	281.693635	4.969758
282.619215	12.513421	281.741630	4.969758
282.654771	12.513421	281.779953	4.969758
282.696267	12.519182	281.818019	4.969758
282.738785	12.519182	281.872348	4.985125
282.777673	12.519182	281.913239	4.985125
282.818851	12.498021	281.982356	5.004532
282.880915	12.498021	282.021943	5.004532
282.917004	12.498021	282.060141	5.004532
282.964578	12.519791	282.104021	5.020934
283.005402	12.519791	282.144989	5.020934
283.066039	12.519791	282.212985	5.020934
283.109351	12.507018	282.257131	4.979962
283.147347	12.507018	282.296861	4.979962
283.188358	12.507018	282.337265	4.979962
283.230783	12.473432	282.387997	5.002289
283.300464	12.473432	282.427783	5.002289
283.338903	12.473432	282.465425	5.002289
283.377938	12.483063	282.505134	4.976072
283.419320	12.483063	282.544956	4.976072
283.458205	12.483063	282.583573	4.976072
283.502606	12.506978	282.621890	4.978403
283.539680	12.506978	282.665854	4.978403
283.582614	12.506978	282.705050	4.978403
283.621266	12.508242	282.750405	4.984929
283.676628	12.508242	282.794978	4.984929
283.713639	12.508242	282.835312	4.984929
283.757647	12.491271	282.872311	4.984929
283.795047	12.491271	282.912611	4.951943
283.833636	12.491271	282.952668	4.951943
283.878433	12.515616	282.995002	4.951943
283.938824	12.515616	283.038678	4.934318
283.976337	12.515616	283.093181	4.934318
284.016387	12.521860	283.129703	4.934318
284.059815	12.521860	283.174078	4.901761
284.098276	12.521860	283.217615	4.901761
284.138659	12.521860	283.255222	4.901761
284.178585	12.516756	283.326864	4.896086
284.221885	12.516756	283.367162	4.896086
284.259183	12.516756	283.403787	4.896086
284.306758	12.542736	283.448564	4.883070
284.346618	12.542736	283.489872	4.883070
284.413213	12.533693	283.562672	4.867333
284.462369	12.533693	283.606762	4.867333
284.499871	12.533693	283.651165	4.867333
284.543204	12.534178	283.690075	4.867333
284.584795	12.534178	283.760978	4.874043
284.647384	12.534178	283.799215	4.874043
284.691643	12.551175	283.838972	4.859279
284.732611	12.551175	283.879673	4.859279
284.776144	12.551175	283.919137	4.859279
284.814184	12.561475	283.960472	4.867843
284.861986	12.561475	284.000446	4.867843
284.898028	12.561475	284.037908	4.867843
284.943506	12.565392	284.075025	4.867843
284.983684	12.565392	284.118567	4.869611
285.042466	12.565392	284.159007	4.869611
285.086362	12.557357	284.196583	4.869611
285.126015	12.557357	284.238523	4.857350
285.168925	12.557357	284.281168	4.857350
285.205619	12.557357	284.324414	4.857350
285.255342	12.557386	284.367608	4.881969
285.292731	12.557386	284.406578	4.881969
285.331179	12.557386	284.446262	4.881969
285.379064	12.561130	284.484827	4.881969
285.419573	12.561130	284.531686	3.248404
285.459247	12.561130	284.575040	3.248404
285.526494	12.582248	284.611552	3.248404
285.564355	12.582248	284.655115	3.223733
285.607865	12.582248	284.698419	3.223733
285.651007	12.590109	284.739112	3.223733
285.714478	12.590109	284.813253	3.231705
285.760049	12.592241	284.852593	3.231705
285.799277	12.592241	284.890053	3.231705
285.840523	12.592241	284.937752	3.204078
285.881121	12.603245	284.979411	3.204078
285.948325	12.603245	285.021097	3.211399
285.988482	12.603245	285.072395	3.211399
286.029456	12.626945	285.109177	3.211399
286.074620	12.626945	285.170210	3.190069
286.112976	12.626945	285.210773	3.190069
286.182713	12.651377	285.250968	3.190069
286.226417	12.651377	285.293900	3.185897
286.262930	12.651377	285.338518	3.185897
286.305631	12.656533	285.398504	3.185897
286.344771	12.656533	285.441848	3.188324
286.385810	12.656533	285.481243	3.188324
286.427896	12.653098	285.519602	3.188324
286.467760	12.653098	285.558298	3.188501
286.506340	12.653098	285.598364	3.188501
286.577080	12.638585	285.638425	3.188501
286.617290	12.638585	285.676342	3.188501
286.654560	12.638585	285.723060	3.213717
286.696784	12.671333	285.763918	3.213717
286.737983	12.671333	285.823381	3.251620
286.776479	12.671333	285.868926	3.251620
286.815479	12.689097	285.904778	3.251620
286.858337	12.689097	285.944814	3.251620
286.897483	12.689097	285.986123	3.322488
286.935715	12.689097	286.055857	3.322488
286.980031	12.666221	286.097439	3.347895
287.021844	12.666221	286.139551	3.347895
287.059460	12.666221	286.180473	3.347895
287.100492	12.671593	286.218540	3.347895
287.140470	12.671593	286.292447	3.411429
287.179289	12.671593	286.329847	3.411429
287.218111	12.678090	286.371269	3.471978
287.260791	12.678090	286.411656	3.471978
287.299937	12.678090	286.449778	3.471978
287.338973	12.678090	286.488142	3.471978
287.379811	12.674391	286.536029	3.548195
287.420154	12.674391	286.574024	3.548195
287.461215	12.674391	286.638766	3.614473
287.501088	12.702469	286.680782	3.614473
287.577000	12.702469	286.720202	3.614473
287.618539	12.684036	286.765441	3.665188
287.660976	12.684036	286.805729	3.665188
287.701535	12.684036	286.870714	3.665188
287.738652	12.684036	286.911470	3.751327
287.783335	12.671627	286.950771	3.751327
287.823577	12.671627	286.990278	3.751327
287.893116	12.673072	287.034224	3.824944
287.936370	12.673072	287.074461	3.824944
287.973555	12.673072	287.112765	3.824944
288.017427	12.698393	287.151642	3.907656
288.061267	12.698393	287.198176	3.907656
288.124601	12.698393	287.235257	3.907656
288.168675	12.711527	287.297071	3.975076
288.206825	12.711527	287.340376	3.975076
288.244639	12.711527	287.384060	3.975076
288.290913	12.548148	287.424222	4.049885
288.332138	12.548148	287.500113	4.049885
288.389015	12.548148	287.536079	4.049885
288.432987	12.553164	287.582297	4.121024
288.472402	12.553164	287.621430	4.121024
288.514266	12.553164	287.663961	4.121024
288.556719	12.523086	287.705446	4.209116
288.622549	12.523086	287.767239	4.209116
288.662698	12.523086	287.804889	4.209116
288.704366	12.550957	287.849755	4.290933
288.746175	12.550957	287.892385	4.290933
288.786033	12.550957	287.929915	4.290933
288.844720	12.532680	288.000759	4.352430
288.889307	12.532680	288.038805	4.352430
288.926119	12.532680	288.076324	4.352430
288.972761	12.490483	288.122502	4.423981
289.013496	12.490483	288.166129	4.423981
289.078792	12.504473	288.204541	4.423981
289.123018	12.504473	288.268550	4.507145
289.158185	12.504473	288.306842	4.507145
289.200539	12.504473	288.346953	4.507145
289.242490	12.467961	288.395493	4.564472
289.309394	12.467961	288.434367	4.564472
289.347545	12.476542	288.471614	4.564472
289.388574	12.476542	288.518334	4.661608
289.426670	12.476542	288.557095	4.661608
289.466167	12.476542	288.628294	4.719943
289.508340	12.477920	288.670967	4.719943
289.544559	12.477920	288.711747	4.719943
289.587788	12.477920	288.755477	4.785083
289.629474	12.486401	288.796480	4.785083
289.702474	12.486401	288.837476	4.785083
289.739810	12.486401	288.876310	4.834383
289.785478	12.489205	288.920778	4.834383
289.822485	12.489205	288.962270	4.834383
289.863480	12.489205	288.999818	4.834383
289.906820	12.481162	289.045701	4.895565
289.970146	12.481162	289.084625	4.895565
290.009204	12.481162	289.122500	4.895565
290.051890	12.504733	289.164352	4.916105
290.089731	12.504733	289.205066	4.916105
290.127814	12.504733	289.245200	4.916105
290.173800	12.469777	289.284198	4.945362
290.212687	12.469777	289.324263	4.945362
290.284645	12.493985	289.367549	4.945362
290.328080	12.493985	289.421396	4.951330
290.366415	12.493985	289.469493	4.951330
290.404889	12.493985	289.512138	4.951330
290.451091	12.506871	289.549812	4.976457
290.489770	12.506871	289.589748	4.976457
290.531785	12.506871	289.630451	4.976457
290.574784	12.491147	289.671274	4.976457
290.615731	12.491147	289.723442	4.966459
290.655087	12.491147	289.761959	4.966459
290.694582	12.504889	289.835030	4.960580
290.738039	12.504889	289.874644	4.960580
290.779563	12.504889	289.917202	4.960580
290.820526	12.530193	289.959491	4.977348
290.862552	12.530193	290.000694	4.977348
290.902039	12.530193	290.040350	4.977348
290.940375	12.530193	290.080650	4.965184
290.983205	12.510344	290.122285	4.965184
291.020020	12.510344	290.161762	4.965184
291.058603	12.510344	290.199695	4.965184
291.133450	12.529359	290.243134	4.956475
291.170432	12.529359	290.281080	4.956475
291.209794	12.529359	290.317591	4.956475
291.251381	12.542156	290.356926	4.945282
291.289159	12.542156	290.412430	4.945282
291.327717	12.542156	290.454788	4.945282
291.372278	12.548868	290.497718	4.935173
291.412384	12.548868	290.539967	4.935173
291.449389	12.548868	290.581929	4.935173
291.492169	12.548834	290.625810	4.914011
291.533346	12.548834	290.672017	4.914011
291.571218	12.548834	290.714290	4.914011
291.609974	12.548834	290.752073	4.913361
291.653721	12.551166	290.790617	4.913361
291.690454	12.551166	290.828632	4.913361
291.730521	12.551166	290.866387	4.913361
291.773470	12.542903	290.915306	4.932465
291.817132	12.542903	290.953764	4.932465
291.853168	12.542903	291.023486	4.916124
291.899235	12.563398	291.065519	4.916124
291.941385	12.563398	291.108017	4.916124
292.008265	12.563398	291.150078	4.914971
292.053540	12.572101	291.192214	4.914971
292.090327	12.572101	291.233370	4.914971
292.134070	12.572101	291.272124	4.914971
292.174942	12.560819	291.316424	4.894913
292.224231	12.560819	291.357353	4.894913
292.261798	12.560819	291.396559	4.894913
292.305534	12.592552	291.438815	4.904650
292.346719	12.592552	291.476166	4.904650
292.385777	12.592552	291.513362	4.904650
292.452302	12.611850	291.552838	4.910796
292.494151	12.611850	291.593310	4.910796
292.531345	12.611850	291.634664	4.910796
292.580773	12.616232	291.672301	4.910796
292.623392	12.616232	291.716610	4.924357
292.661603	12.616232	291.757059	4.924357
292.708242	12.630362	291.796566	4.924357
292.743384	12.630362	291.871130	4.915380
292.782108	12.630362	291.911800	4.915380
292.860338	12.633589	291.951584	4.909257
292.900533	12.633589	291.995539	4.909257
292.942318	12.633589	292.035093	4.909257
292.980038	12.634001	292.103365	4.849746
293.023431	12.634001	292.143127	4.849746
293.066156	12.634001	292.182340	4.849746
293.113321	12.637760	292.219867	4.849746
293.152565	12.637760	292.261038	3.268385
293.191724	12.637760	292.303262	3.268385
293.265182	12.654984	292.346675	3.268385
293.306271	12.654984	292.391060	3.296662
293.351964	12.635408	292.430969	3.296662
293.397371	12.635408	292.468419	3.296662
293.437322	12.635408	292.513675	3.273852
293.483236	12.661812	292.554032	3.273852
293.524722	12.661812	292.590954	3.273852
293.567062	12.661812	292.653529	3.272367
293.609143	12.661812	292.692187	3.272367
293.650955	12.665269	292.728267	3.272367
293.692386	12.665269	292.772197	3.291533
293.736682	12.665269	292.813638	3.291533
293.780421	12.669123	292.851170	3.291533
293.825026	12.669123	292.920094	3.242963
293.866975	12.669123	292.957866	3.242963
293.935093	12.693382	292.995098	3.242963
293.980290	12.693382	293.035375	3.247155
294.019380	12.676065	293.076626	3.247155
294.065409	12.676065	293.113860	3.247155
294.106632	12.676065	293.186689	3.257217
294.171170	12.659127	293.224087	3.257217
294.215567	12.659127	293.260197	3.257217
294.255343	12.659127	293.304178	3.243487
294.306380	12.663828	293.345336	3.243487
294.345056	12.663828	293.383064	3.243487
294.402836	12.663828	293.452921	3.266450
294.448801	12.665590	293.491045	3.266450
294.486824	12.665590	293.526478	3.266450
294.526102	12.665590	293.567555	3.324895
294.572909	12.681146	293.608933	3.324895
294.612478	12.681146	293.646603	3.324895
294.688223	12.541543	293.719240	3.382913
294.728580	12.541543	293.758483	3.382913
294.765959	12.541543	293.796020	3.382913
294.804780	12.541543	293.838326	3.436372
294.847878	12.535972	293.881343	3.436372
294.888578	12.535972	293.919489	3.436372
294.925261	12.535972	293.993903	3.516169
294.973380	12.520981	294.034453	3.516169
295.044472	12.520981	294.073206	3.516169
295.084947	12.515953	294.115647	3.568915
295.122961	12.515953	294.151634	3.568915
295.164419	12.515953	294.189387	3.568915
295.201896	12.515953	294.235254	3.644924
295.243906	12.526253	294.272862	3.644924
295.283150	12.526253	294.346137	3.644924
295.321843	12.526253	294.389506	3.717885
295.369786	12.501781	294.433074	3.717885
295.408535	12.501781	294.475150	3.717885
295.452898	12.501781	294.517984	3.778377
295.490691	12.475103	294.558507	3.778377
295.539223	12.475103	294.595685	3.778377
295.575286	12.475103	294.637200	3.854119
295.616425	12.458153	294.678932	3.854119
295.688095	12.458153	294.718782	3.854119
295.726528	12.458153	294.759713	3.915684
295.773982	12.465673	294.799147	3.915684
295.815518	12.465673	294.836823	3.915684
295.855511	12.465673	294.874459	3.915684
295.896575	12.463352	294.916726	3.997598
295.938905	12.463352	294.955734	3.997598
295.976514	12.463352	294.992023	3.997598
296.023920	12.463983	295.033773	4.070413
296.061467	12.463983	295.074413	4.070413
296.128221	12.463983	295.142831	4.070413
296.167984	12.467313	295.186504	4.136661
296.215412	12.467313	295.226131	4.136661
296.251653	12.467313	295.265835	4.136661
296.294419	12.479349	295.306835	4.218136
296.359518	12.479349	295.379233	4.218136
296.398854	12.488633	295.418129	4.218136
296.440710	12.488633	295.459340	4.296924
296.483251	12.488633	295.498115	4.296924
296.520564	12.488633	295.534173	4.296924
296.565186	12.474112	295.577549	4.371093
296.608808	12.474112	295.620806	4.371093
296.646643	12.474112	295.658033	4.371093
296.692706	12.467376	295.739196	4.450685
296.730043	12.467376	295.778773	4.450685
296.800459	12.474180	295.817353	4.450685
296.841847	12.474180	295.862771	4.491035
296.889023	12.474180	295.927361	4.491035
296.924954	12.474180	295.968207	4.585924
296.966786	12.475792	296.009661	4.585924
297.034834	12.475792	296.047542	4.585924
297.074494	12.508761	296.088065	4.665007
297.118106	12.508761	296.127633	4.665007
297.158375	12.508761	296.166979	4.665007
297.196044	12.508761	296.203636	4.665007
297.237568	12.511100	296.252855	4.739796
297.277427	12.511100	296.289365	4.739796
297.314523	12.511100	296.365161	4.781149
297.357068	12.494610	296.403621	4.781149
297.395262	12.494610	296.445055	4.781149
297.434276	12.494610	296.488384	4.834022
297.477211	12.509828	296.529237	4.834022
297.516208	12.509828	296.567036	4.834022
297.560238	12.509828	296.604142	4.834022
297.598878	12.500839	296.644762	4.912390
297.646763	12.500839	296.683239	4.912390
297.683412	12.500839	296.721334	4.912390
297.724886	12.500839	296.761939	4.951417
297.767195	12.520192	296.799138	4.951417
297.831733	12.520192	296.837234	4.951417
297.871763	12.520192	296.874743	4.951417
297.911230	12.511093	296.919386	5.009803
297.951545	12.511093	296.958284	5.009803
297.991663	12.511093	296.996977	5.009803
298.031348	12.525253	297.040806	4.999167
298.073287	12.525253	297.085494	4.999167
298.112375	12.525253	297.165508	5.025831
298.152454	12.531460	297.207509	5.025831
298.194232	12.531460	297.244904	5.025831
298.234375	12.531460	297.289905	5.054087
298.273979	12.548691	297.329114	5.054087
298.320249	12.548691	297.394582	5.054087
298.357481	12.548691	297.436109	5.050994
298.397500	12.563635	297.475163	5.050994
298.471020	12.563635	297.513751	5.050994
298.509727	12.563635	297.552089	5.054721
298.555986	12.549770	297.592673	5.054721
298.596268	12.549770	297.634320	5.054721
298.640061	12.549770	297.676841	5.052269
298.680127	12.567428	297.721536	5.052269
298.749296	12.567428	297.761563	5.052269
298.788584	12.567428	297.798232	5.052269
298.836093	12.585883	297.840473	5.046812
298.874321	12.585883	297.885596	5.046812
298.916093	12.585883	297.922422	5.046812
298.957390	12.585131	297.989984	5.024569
299.016443	12.585131	298.030735	5.024569
299.053988	12.585131	298.067213	5.024569
299.098524	12.609140	298.113280	5.012883
299.140149	12.609140	298.153013	5.012883
299.179669	12.609140	298.220678	5.021832
299.220823	12.597396	298.268313	5.021832
299.260715	12.597396	298.306624	5.021832
299.300931	12.597396	298.346476	5.021832
299.340271	12.597396	298.393522	5.004190
299.387080	12.618193	298.432035	5.004190
299.424536	12.618193	298.473622	5.004190
299.464503	12.618193	298.515729	5.005072
299.532784	12.619447	298.558135	5.005072
299.571724	12.619447	298.595061	5.005072
299.616426	12.642372	298.667766	4.983003
299.656887	12.642372	298.705001	4.983003
299.694715	12.642372	298.746392	4.983003
299.733144	12.642372	298.795886	4.982079
299.779330	12.635952	298.865174	4.982079
299.820326	12.635952	298.910947	4.971992
299.857338	12.635952	298.949854	4.971992
299.900391	12.631642	298.990246	4.971992
299.941199	12.631642	299.030861	4.958730
299.979922	12.631642	299.101122	4.958730
300.022063	12.636741	299.138495	4.958730
300.062811	12.636741	299.179719	4.941356
300.100932	12.636741	299.220484	4.941356
300.144258	12.624118	299.257754	4.941356
300.187644	12.624118	299.298944	4.960596
300.230583	12.624118	299.342251	4.960596
300.268699	12.664603	299.382646	4.960596
300.322539	12.664603	299.443519	4.956955
300.360760	12.664603	299.485480	4.956955
300.424383	12.660479	299.523381	4.956955
300.468532	12.660479	299.568727	4.951175
300.505821	12.660479	299.609073	4.951175
300.551090	12.641721	299.676587	4.955970
300.595455	12.641721	299.718950	4.955970
300.657058	12.641721	299.760455	4.955970
300.699932	12.633675	299.800331	4.955970
300.738677	12.633675	299.843742	4.923521
300.781987	12.633675	299.910601	4.923521
300.822962	12.641212	299.947838	4.923521
300.867196	12.641212	299.988270	3.337071
300.941774	12.663395	300.028864	3.337071
300.985472	12.663395	300.066199	3.337071
301.021926	12.663395	300.113081	3.316911
301.060483	12.663395	300.153040	3.316911
301.105549	12.654121	300.191093	3.316911
301.144663	12.654121	300.259317	3.302594
301.208263	12.504911	300.300924	3.302594
301.251287	12.504911	300.338919	3.302594
301.288789	12.504911	300.383129	3.293367
301.332083	12.504911	300.424478	3.293367
301.382105	12.501316	300.463102	3.293367
301.425887	12.501316	300.535481	3.327744
301.471762	12.504281	300.573578	3.327744
301.517180	12.504281	300.609422	3.327744
301.560892	12.504281	300.654304	3.343849
301.601262	12.522197	300.697529	3.343849
301.643573	12.522197	300.736123	3.343849
301.683628	12.522197	300.803421	3.315301
301.722640	12.522197	300.842230	3.315301
301.767093	12.470187	300.883402	3.331501
301.806150	12.470187	300.926046	3.331501
301.849355	12.470187	300.963762	3.331501
301.889545	12.457540	301.002160	3.331501
301.953725	12.457540	301.052778	3.349500
301.991207	12.457540	301.089879	3.349500
302.035324	12.457465	301.161285	3.387272
302.078577	12.457465	301.200381	3.387272
302.114439	12.457465	301.240821	3.387272
302.157280	12.433507	301.283106	3.431368
302.222156	12.433507	301.324317	3.431368
302.260883	12.433507	301.366545	3.431368
302.305900	12.448186	301.406906	3.515025
302.346190	12.448186	301.449010	3.515025
302.384413	12.448186	301.487698	3.515025
302.427116	12.436855	301.526555	3.515025
302.467283	12.436855	301.567460	3.574666
302.504983	12.436855	301.605146	3.574666
302.545313	12.439106	301.641953	3.574666
302.589731	12.439106	301.681911	3.649267
302.627531	12.439106	301.723326	3.649267
302.665853	12.439106	301.763132	3.649267
302.707850	12.428339	301.801130	3.649267
302.747848	12.428339	301.844904	3.700799
302.787930	12.428339	301.886380	3.700799
302.829745	12.447525	301.925276	3.700799
302.869650	12.447525	301.999540	3.763580
302.908943	12.447525	302.040352	3.763580
302.948954	12.453011	302.079845	3.830310
302.993047	12.453011	302.122081	3.830310
303.034188	12.453011	302.161013	3.830310
303.076382	12.454138	302.225086	3.870212
303.115984	12.454138	302.266267	3.870212
303.166904	12.454138	302.305470	3.870212
303.207956	12.455012	302.345050	3.870212
303.255360	12.455012	302.387619	3.929788
303.293294	12.455012	302.427294	3.929788
303.336754	12.455012	302.469422	3.929788
303.380975	12.441535	302.511515	3.993652
303.446723	12.441535	302.550489	3.993652
303.491120	12.467168	302.586753	3.993652
303.531206	12.467168	302.628925	4.075766
303.573598	12.467168	302.673211	4.075766
303.614199	12.463058	302.711680	4.075766
303.664744	12.463058	302.772476	4.110619
303.701062	12.463058	302.816827	4.110619
303.740397	12.470174	302.853951	4.110619
303.784979	12.470174	302.898693	4.166531
303.824070	12.470174	302.937829	4.166531
303.891083	12.480756	303.006297	4.241447
303.932341	12.480756	303.049077	4.241447
303.968735	12.480756	303.087707	4.241447
304.010031	12.491113	303.126612	4.241447
304.051643	12.491113	303.168213	4.294166
304.089503	12.491113	303.240431	4.294166
304.127597	12.491113	303.281415	4.344752
304.172880	12.482427	303.325752	4.344752
304.212350	12.482427	303.365330	4.344752
304.251011	12.482427	303.402984	4.344752
304.294918	12.512982	303.444773	4.409517
304.337323	12.512982	303.482643	4.409517
304.374615	12.512982	303.520481	4.409517
304.416697	12.500332	303.566093	4.455769
304.458758	12.500332	303.602559	4.455769
304.497251	12.500332	303.660308	4.455769
304.535581	12.500332	303.702129	4.529468
304.580129	12.508643	303.745958	4.529468
304.623355	12.508643	303.787838	4.529468
304.659113	12.508643	303.829309	4.597097
304.703658	12.517663	303.872941	4.597097
304.744856	12.517663	303.910731	4.597097
304.811984	12.550071	303.950758	4.652125
304.855596	12.550071	303.994975	4.652125
304.892009	12.550071	304.035227	4.652125
304.933063	12.550071	304.073138	4.652125
304.974866	12.527589	304.118273	4.709089
305.046094	12.527589	304.156665	4.709089
305.090910	12.539380	304.196048	4.709089
305.127911	12.539380	304.241730	4.748611
305.171283	12.539380	304.288011	4.748611
305.210563	12.550287	304.326595	4.748611
305.259868	12.550287	304.376250	4.810343
305.297215	12.550287	304.422390	4.810343
305.337629	12.550287	304.463252	4.810343
305.382650	12.557093	304.508846	4.853500
305.422200	12.557093	304.551151	4.853500
305.489103	12.596730	304.618391	4.899380
305.531330	12.596730	304.661901	4.899380
305.571107	12.596730	304.698786	4.899380
305.614883	12.571831	304.740126	4.899380
305.657227	12.571831	304.781822	4.924992
305.695334	12.571831	304.853811	4.924992
305.735658	12.571831	304.895820	4.939010
305.782106	12.579116	304.936614	4.939010
305.821831	12.579116	304.977223	4.939010
305.860040	12.579116	305.017946	4.943150
305.906260	12.609308	305.073163	4.943150
305.947271	12.609308	305.110941	4.943150
305.984982	12.609308	305.149381	4.959257
306.027271	12.597310	305.190526	4.959257
306.070335	12.597310	305.232705	4.959257
306.109341	12.597310	305.269904	4.959257
306.150943	12.625642	305.313681	4.985690
306.192278	12.625642	305.353949	4.985690
306.233624	12.625642	305.390622	4.985690
306.271179	12.623120	305.461951	4.950955
306.316919	12.623120	305.504173	4.950955
306.356674	12.623120	305.541505	4.950955
306.428284	12.619955	305.585201	4.968340
306.470286	12.619955	305.621902	4.968340
306.506444	12.619955	305.695878	4.976335
306.551123	12.613039	305.737859	4.976335
306.592794	12.613039	305.777027	4.976335
306.664163	12.613039	305.822282	4.974970
306.709991	12.632547	305.860418	4.974970
306.745059	12.632547	305.916523	4.974970
306.784171	12.632547	305.955996	4.950095
306.833232	12.639393	305.997030	4.950095
306.873908	12.639393	306.035439	4.950095
306.949477	12.623233	306.073431	4.950095
306.992312	12.623233	306.116738	4.956938
307.029326	12.623233	306.155455	4.956938
307.068895	12.624034	306.197344	4.956938
307.111002	12.624034	306.242906	4.930633
307.147265	12.624034	306.282639	4.930633
